plasmid_0;63+
plasmid_1;177+,101-,99+,117+,26+,143-,131+,44-,73-,117-,127+,177+,85+,92+,59-,100-,90+,29+,176+,127-
plasmid_2;176-,83+,92+,177-,127-,117+,114+,79+,176+,127-
plasmid_3;127-,117+,67+,117-
plasmid_4;128-,173-,65+,104-,78-,193-,170-,133+
plasmid_5;127-,117+,36+
plasmid_6;128-,173-,168+,64+
plasmid_7;34+
plasmid_8;87+,136+
plasmid_9;70+
plasmid_10;133-,164+,51+
plasmid_11;69+,168-,175+,128+
plasmid_12;133-,164+,49-,38+,60-
plasmid_13;133-,170+,193+,72+
plasmid_14;133-,164+,40+,193-,170-,133+
plasmid_15;16+,198+,97+,132-,100-,24-,168-
plasmid_16;111+,62-,97+,94-,102-,93+,168-,175+,128+
plasmid_17;125-,30+,97+,57-,168-
plasmid_18;138+,126-,138+,116-,97+,58+,104+,103+,158+,147+,158+
plasmid_19;71-,198+,97+,46+,164-
plasmid_20;127-,117+,154-
plasmid_21;140+,11-,102+,27-,105+
plasmid_22;115-,54+,102+,43+,105-
plasmid_23;168+,75+,102+,96-,195+
plasmid_24;102+
plasmid_25;164+,37-,104+,109-,164-,133+
plasmid_26;148-,56-,100+,15+
plasmid_27;112+,55+,100+,132+
plasmid_28;133-,164+,19-,150+,119+,139-
plasmid_29;66-,150+,119+,139-
plasmid_30;48+,150+,119+,139-
plasmid_31;165+,4+,119+,139-
plasmid_32;150+,119+,98+
plasmid_33;119+
