plasmid_0;30_53-30_53-,23_0+,23_0+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_53	0.5382902938557436	0.5445235975066786	1	2246
# 30_53	0.5382902938557436	0.5445235975066786	1	2246
# 23_0	0.8217630050136616	0.411783431042258	1	37697
# 23_0	0.8217630050136616	0.411783431042258	1	37697

plasmid_1;23_3+23_3+,30_3-,30_3-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_3	0.8217630050136616	0.411783431042258	1	37697
# 23_3	0.8217630050136616	0.411783431042258	1	37697
# 30_3	0.5382902938557436	0.5445235975066786	1	2246
# 30_3	0.5382902938557436	0.5445235975066786	1	2246

plasmid_2;30_17-30_17-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_17	0.5382902938557436	0.5445235975066786	1	2246
# 30_17	0.5382902938557436	0.5445235975066786	1	2246

plasmid_3;30_163-30_163-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_163	0.5382902938557436	0.5445235975066786	1	2246
# 30_163	0.5382902938557436	0.5445235975066786	1	2246

plasmid_4;30_201-30_201-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_201	0.5382902938557436	0.5445235975066786	1	2246
# 30_201	0.5382902938557436	0.5445235975066786	1	2246

plasmid_5;30_14+30_14+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_14	0.5382902938557436	0.5445235975066786	1	2246
# 30_14	0.5382902938557436	0.5445235975066786	1	2246

plasmid_6;30_50-30_50-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_50	0.5382902938557436	0.5445235975066786	1	2246
# 30_50	0.5382902938557436	0.5445235975066786	1	2246

plasmid_7;30_7-30_7-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_7	0.5382902938557436	0.5445235975066786	1	2246
# 30_7	0.5382902938557436	0.5445235975066786	1	2246

plasmid_8;30_92+,30_98+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_92	0.5382902938557436	0.5445235975066786	1	2246
# 30_98	0.5382902938557436	0.5445235975066786	1	2246

plasmid_9;30_39+,30_94+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_39	0.5382902938557436	0.5445235975066786	1	2246
# 30_94	0.5382902938557436	0.5445235975066786	1	2246

plasmid_10;30_215-,30_220-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_215	0.5382902938557436	0.5445235975066786	1	2246
# 30_220	0.5382902938557436	0.5445235975066786	1	2246

plasmid_11;30_80-,30_127-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_80	0.5382902938557436	0.5445235975066786	1	2246
# 30_127	0.5382902938557436	0.5445235975066786	1	2246

plasmid_12;30_180+,30_193+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_180	0.5382902938557436	0.5445235975066786	1	2246
# 30_193	0.5382902938557436	0.5445235975066786	1	2246

plasmid_13;30_191+,30_203+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_191	0.5382902938557436	0.5445235975066786	1	2246
# 30_203	0.5382902938557436	0.5445235975066786	1	2246

plasmid_14;30_30-,30_164-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_30	0.5382902938557436	0.5445235975066786	1	2246
# 30_164	0.5382902938557436	0.5445235975066786	1	2246

plasmid_15;30_115-,30_121-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_115	0.5382902938557436	0.5445235975066786	1	2246
# 30_121	0.5382902938557436	0.5445235975066786	1	2246

plasmid_16;30_10-,30_214-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_10	0.5382902938557436	0.5445235975066786	1	2246
# 30_214	0.5382902938557436	0.5445235975066786	1	2246

plasmid_17;30_110-,30_153-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_110	0.5382902938557436	0.5445235975066786	1	2246
# 30_153	0.5382902938557436	0.5445235975066786	1	2246

plasmid_18;30_31-,30_72-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_31	0.5382902938557436	0.5445235975066786	1	2246
# 30_72	0.5382902938557436	0.5445235975066786	1	2246

plasmid_19;30_123-,30_218-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_123	0.5382902938557436	0.5445235975066786	1	2246
# 30_218	0.5382902938557436	0.5445235975066786	1	2246

plasmid_20;30_103+,30_209+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_103	0.5382902938557436	0.5445235975066786	1	2246
# 30_209	0.5382902938557436	0.5445235975066786	1	2246

plasmid_21;30_60-,30_183-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_60	0.5382902938557436	0.5445235975066786	1	2246
# 30_183	0.5382902938557436	0.5445235975066786	1	2246

plasmid_22;30_167+,30_213+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_167	0.5382902938557436	0.5445235975066786	1	2246
# 30_213	0.5382902938557436	0.5445235975066786	1	2246

plasmid_23;30_64+,30_157+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_64	0.5382902938557436	0.5445235975066786	1	2246
# 30_157	0.5382902938557436	0.5445235975066786	1	2246

plasmid_24;30_0+,30_188+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_0	0.5382902938557436	0.5445235975066786	1	2246
# 30_188	0.5382902938557436	0.5445235975066786	1	2246

plasmid_25;30_1-,30_219-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_1	0.5382902938557436	0.5445235975066786	1	2246
# 30_219	0.5382902938557436	0.5445235975066786	1	2246

plasmid_26;30_46+,30_67+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_46	0.5382902938557436	0.5445235975066786	1	2246
# 30_67	0.5382902938557436	0.5445235975066786	1	2246

plasmid_27;30_59+,30_168+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_59	0.5382902938557436	0.5445235975066786	1	2246
# 30_168	0.5382902938557436	0.5445235975066786	1	2246

plasmid_28;30_75-,30_197-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_75	0.5382902938557436	0.5445235975066786	1	2246
# 30_197	0.5382902938557436	0.5445235975066786	1	2246

plasmid_29;30_196+,30_217+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_196	0.5382902938557436	0.5445235975066786	1	2246
# 30_217	0.5382902938557436	0.5445235975066786	1	2246

plasmid_30;30_128-,30_184-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 30_128	0.5382902938557436	0.5445235975066786	1	2246
# 30_184	0.5382902938557436	0.5445235975066786	1	2246

plasmid_31;30_52+,30_119+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
