24	CP016582.1	100.000	1687	0	0	1	1687	408	2094	0.0	3116
24	CP016582.1	100.000	407	0	0	1688	2094	1	407	0.0	752
21	CP016584.1	100.000	5823	0	0	825	6647	6647	825	0.0	10754
21	CP016584.1	100.000	824	0	0	1	824	824	1	0.0	1522
28	CP016585.1	99.313	582	0	4	1	580	83775	83196	0.0	1050
28	CP016585.1	100.000	555	0	0	559	1113	82174	82728	0.0	1026
28	CP016585.1	97.872	47	1	0	540	586	82688	82734	2.55e-17	82.4
28	CP016585.1	93.750	48	3	0	541	588	83190	83237	1.53e-14	73.1
28	CP016585.1	100.000	34	0	0	1080	1113	83196	83229	9.23e-12	63.9
10	CP016585.1	85.088	114	12	5	158762	158873	98801	98911	4.80e-24	111
13	CP016585.1	100.000	81866	0	0	1	81866	81866	1	0.0	1.512e+05
13	CP016585.1	100.000	15698	0	0	81867	97564	99473	83776	0.0	28989
13	CP016585.1	90.381	499	41	5	40598	41091	34929	34433	0.0	649
13	CP016585.1	90.381	499	41	5	46938	47434	41269	40776	0.0	649
13	CP016585.1	92.958	355	22	3	41781	42133	33140	32787	1.89e-145	514
13	CP016585.1	92.958	355	22	3	48727	49080	40086	39734	1.89e-145	514
13	CP016585.1	82.143	336	43	14	37713	38041	41273	40948	1.26e-72	272
13	CP016585.1	82.143	336	43	14	40594	40919	44154	43826	1.26e-72	272
13	CP016585.1	100.000	42	0	0	65624	65665	16202	16243	2.94e-14	78.7
13	CP016585.1	100.000	30	0	0	66098	66127	4042	4071	1.38e-07	56.5
13	CP016585.1	100.000	30	0	0	77796	77825	15740	15769	1.38e-07	56.5
17	CP016583.1	100.000	28563	0	0	9135	37697	1	28563	0.0	52746
17	CP016583.1	100.000	9134	0	0	1	9134	28564	37697	0.0	16868
17	CP016583.1	96.296	135	4	1	6353	6487	29247	29380	1.78e-57	220
17	CP016583.1	96.296	135	4	1	684	817	34916	35050	1.78e-57	220
17	CP016583.1	96.364	110	4	0	34522	34631	19943	19834	8.41e-46	182
17	CP016583.1	97.196	107	3	0	28971	29077	25494	25388	8.41e-46	182
17	CP016583.1	92.929	99	5	2	31259	31357	21215	21311	3.97e-34	143
17	CP016583.1	92.929	99	5	2	30349	30445	22125	22223	3.97e-34	143
17	CP016583.1	97.674	43	1	0	32872	32914	23661	23703	1.47e-13	75.0
17	CP016583.1	97.674	43	1	0	32795	32837	23738	23780	1.47e-13	75.0
31	CP016585.1	100.000	489	0	0	1	489	83195	82707	0.0	904
31	CP016585.1	100.000	333	0	0	462	794	82201	81869	4.01e-178	616
