plasmid_0;19_16+,80_0-,19_0+19_16+,22_3+,22_3+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_16	0.9031168285839711	0.5188097646632184	1	52393
# 80_0	0.0	0.40384615384615385	1	52
# 19_0	0.9031168285839711	0.5188097646632184	1	52393
# 19_16	0.9031168285839711	0.5188097646632184	1	52393
# 22_3	0.7959974176888315	0.5515386270712288	1	9294
# 22_3	0.7959974176888315	0.5515386270712288	1	9294

plasmid_1;19_17-,80_2+19_17-,22_2-,22_2-,19_14+,19_14+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_17	0.9031168285839711	0.5188097646632184	1	52393
# 80_2	0.0	0.40384615384615385	1	52
# 19_17	0.9031168285839711	0.5188097646632184	1	52393
# 22_2	0.7959974176888315	0.5515386270712288	1	9294
# 22_2	0.7959974176888315	0.5515386270712288	1	9294
# 19_14	0.9031168285839711	0.5188097646632184	1	52393
# 19_14	0.9031168285839711	0.5188097646632184	1	52393

plasmid_2;19_1+,80_5-,19_13+,19_11-,19_11-,22_1-,22_1-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_1	0.9031168285839711	0.5188097646632184	1	52393
# 80_5	0.0	0.40384615384615385	1	52
# 19_13	0.9031168285839711	0.5188097646632184	1	52393
# 19_11	0.9031168285839711	0.5188097646632184	1	52393
# 19_11	0.9031168285839711	0.5188097646632184	1	52393
# 22_1	0.7959974176888315	0.5515386270712288	1	9294
# 22_1	0.7959974176888315	0.5515386270712288	1	9294

plasmid_3;19_12+,19_8+,80_3-19_12+,22_6+,22_6+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_12	0.9031168285839711	0.5188097646632184	1	52393
# 19_8	0.9031168285839711	0.5188097646632184	1	52393
# 80_3	0.0	0.40384615384615385	1	52
# 19_12	0.9031168285839711	0.5188097646632184	1	52393
# 22_6	0.7959974176888315	0.5515386270712288	1	9294
# 22_6	0.7959974176888315	0.5515386270712288	1	9294

plasmid_4;19_2+,80_1-,19_7+,19_3-,19_3-,22_4+,22_4+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_2	0.9031168285839711	0.5188097646632184	1	52393
# 80_1	0.0	0.40384615384615385	1	52
# 19_7	0.9031168285839711	0.5188097646632184	1	52393
# 19_3	0.9031168285839711	0.5188097646632184	1	52393
# 19_3	0.9031168285839711	0.5188097646632184	1	52393
# 22_4	0.7959974176888315	0.5515386270712288	1	9294
# 22_4	0.7959974176888315	0.5515386270712288	1	9294

plasmid_5;19_4-,80_4+,19_5-,22_5-,22_5-,19_6-,19_6-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_4	0.9031168285839711	0.5188097646632184	1	52393
# 80_4	0.0	0.40384615384615385	1	52
# 19_5	0.9031168285839711	0.5188097646632184	1	52393
# 22_5	0.7959974176888315	0.5515386270712288	1	9294
# 22_5	0.7959974176888315	0.5515386270712288	1	9294
# 19_6	0.9031168285839711	0.5188097646632184	1	52393
# 19_6	0.9031168285839711	0.5188097646632184	1	52393

plasmid_6;22_0-,22_7-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 22_0	0.7959974176888315	0.5515386270712288	1	9294
# 22_7	0.7959974176888315	0.5515386270712288	1	9294

