plasmid_0;19+
plasmid_1;143-,57+,70+,104-,73+,59+,75-
plasmid_2;155+,35-,70+,28+,76+
plasmid_3;79+,50-,70+,1+,66-,11+,100-,82-,162+,44-
plasmid_4;85+,94+,135-,4-,156+,101-,86+,46+,147-
plasmid_5;156+,101-,86+,60+,149-
plasmid_6;156+,101-,86+,51-,66-,6+,184+
plasmid_7;80+,26+,87+,170+,157-,150-,183-,67+,163-,82+,100+,10-
plasmid_8;173-,56-,87+,170+,157-,150-,181-
plasmid_9;77+,105+,119-,90+,73-,21-,87+,170+,158+,150-,181-
plasmid_10;141-,49+,87+,170+,158+,150-,183-
plasmid_11;178-,9+,73+,8-,66+,63+,79-
plasmid_12;75+,20+,73+,17-,41-
plasmid_13;146-,23-,73+,37-
plasmid_14;75+,52+,66+,22-,79-
plasmid_15;38+,152-,7-,75-,163-,82+,100+,58+
plasmid_16;36+,162-,82+,100+,81+,168+,114-
plasmid_17;163+,75+,91+,163-,82+,100+,172+,173-,178-
