plasmid_0;59-,86-,101-,156-,91+,117-,106-,67+,116-,107-,211-,28-,155+,218-,143+,150+,145+,151+,187-,168-,58+,194+,155+,216+,143+,130+,151+,186-,167+,42-,165+,140+,125+,98-,49+,63+,72-,48-,68+,83+,173+,47+
# 59	0.825266611977	1.62127648361	3657
# 86	0.914264036419	4.02022774222	1318
# 101	0.84076433121	1.66391049453	942
# 156	0.678571428571	2.66119144007	140
# 91	1.0	4.61802577392	1121
# 117	1.0	1.09853739802	538
# 106	1.0	5.3163525151	820
# 67	0.690217391304	1.56100326677	2208
# 116	0.869244935543	4.83376999097	543
# 107	0.927227101631	9.06093255095	797
# 211	0.0	5.8338336086	13
# 28	0.851631999219	2.82737841625	61489
# 155	0.0	12.98379188	142
# 218	0.0	1.78478797054	7
# 143	0.0	10.1032994033	188
# 150	0.0	5.73844373017	157
# 145	0.0	9.97808492678	177
# 151	0.0	11.9722982962	157
# 187	0.0	8.79102799867	64
# 168	0.0	9.39866972623	114
# 58	0.886610984561	1.68471248117	3951
# 194	0.0	7.23129184944	52
# 155	0.0	12.98379188	142
# 216	0.0	9.35081986879	7
# 143	0.0	10.1032994033	188
# 130	0.0	1.24932190003	334
# 151	0.0	11.9722982962	157
# 186	0.0	2.552083313	64
# 167	0.0	2.88103433559	115
# 42	0.77492211838	1.49516213266	14124
# 165	0.0	3.59346404788	118
# 140	0.0	1.3758343713	212
# 125	0.0	3.33051102963	388
# 98	0.33300589391	1.77160545859	1018
# 49	0.923039845758	12.3529442715	6224
# 63	0.726647000983	1.9148653356	3051
# 72	0.907001044932	9.2991591649	1914
# 48	0.89795265515	1.77374325915	6252
# 68	0.858275058275	3.25218407196	2145
# 83	0.639377537212	1.55128778217	1478
# 173	0.0	3.15278406511	86
# 47	0.626071329831	1.65081555663	7234

plasmid_1;116+,54+,65+,19-,211+,107+,129+,91-,156+,60-,106-,66-,168+,186+,151-,145-,202-,166-,159-,176-,155-,195-,55+,194+,155+,216+,143+,130+,151+,187-,167+,42-,165+,140+,125+,98-,49+,63+,72-,48-,68+,83+,173+,47+
# 116	0.869244935543	3.83376999097	543
# 54	0.986311787072	2.13202963641	5260
# 65	0.941438102298	4.78869703833	2698
# 19	0.87297917028	2.52755015722	103794
# 211	0.0	4.8338336086	13
# 107	0.927227101631	8.06093255095	797
# 129	0.178885630499	3.15847123215	341
# 91	1.0	3.61802577392	1121
# 156	0.678571428571	1.66119144007	140
# 60	0.82802182027	1.61046938448	3483
# 106	1.0	4.3163525151	820
# 66	0.871208973826	1.68837870178	2407
# 168	0.0	8.39866972623	114
# 186	0.0	1.552083313	64
# 151	0.0	9.9722982962	157
# 145	0.0	8.97808492678	177
# 202	0.0	3.51052308237	23
# 166	0.0	2.7214617289	117
# 159	0.0	2.69954989423	133
# 176	0.0	2.67763805956	79
# 155	0.0	10.98379188	142
# 195	0.0	2.87994697999	48
# 55	0.798524287764	1.59496780167	4879
# 194	0.0	6.23129184944	52
# 155	0.0	10.98379188	142
# 216	0.0	8.35081986879	7
# 143	0.0	8.10329940334	188
# 130	0.0	0.249321900025	334
# 151	0.0	9.9722982962	157
# 187	0.0	7.79102799867	64
# 167	0.0	1.88103433559	115
# 42	0.77492211838	0.495162132661	14124
# 165	0.0	2.59346404788	118
# 140	0.0	0.375834371297	212
# 125	0.0	2.33051102963	388
# 98	0.33300589391	0.771605458587	1018
# 49	0.923039845758	11.3529442715	6224
# 63	0.726647000983	0.9148653356	3051
# 72	0.907001044932	8.2991591649	1914
# 48	0.89795265515	0.773743259149	6252
# 68	0.858275058275	2.25218407196	2145
# 83	0.639377537212	0.551287782169	1478
# 173	0.0	2.15278406511	86
# 47	0.626071329831	0.650815556629	7234

plasmid_2;62+,86+,59+,91-,156+,60-,106-,66-,168+,187+,151-,145-,202-,164+,205-,143-,216-,155-,28+,211+,107+,116+,54+,65+,87-
# 62	0.843119542307	3.21943439408	3321
# 86	0.914264036419	3.02022774222	1318
# 59	0.825266611977	0.621276483608	3657
# 91	1.0	2.61802577392	1121
# 156	0.678571428571	0.661191440067	140
# 60	0.82802182027	0.610469384485	3483
# 106	1.0	3.3163525151	820
# 66	0.871208973826	0.688378701778	2407
# 168	0.0	7.39866972623	114
# 187	0.0	6.79102799867	64
# 151	0.0	7.9722982962	157
# 145	0.0	7.97808492678	177
# 202	0.0	2.51052308237	23
# 164	0.0	1.40877552313	118
# 205	0.0	2.93909868114	16
# 143	0.0	7.10329940334	188
# 216	0.0	7.35081986879	7
# 155	0.0	8.98379188005	142
# 28	0.851631999219	1.82737841625	61489
# 211	0.0	3.8338336086	13
# 107	0.927227101631	7.06093255095	797
# 116	0.869244935543	2.83376999097	543
# 54	0.986311787072	1.13202963641	5260
# 65	0.941438102298	3.78869703833	2698
# 87	0.860339506173	2.76096561082	1296

plasmid_3;68-,61-,155+,176+,159+,166+,202+,145+,151+,187-,168-,87+,65-,106-,71+,86-,62-,91+,129-,107-,211-,19+
# 68	0.858275058275	1.25218407196	2145
# 61	0.796719390744	1.58342914425	3414
# 155	0.0	7.98379188005	142
# 176	0.0	1.67763805956	79
# 159	0.0	1.69954989423	133
# 166	0.0	1.7214617289	117
# 202	0.0	1.51052308237	23
# 145	0.0	6.97808492678	177
# 151	0.0	6.9722982962	157
# 187	0.0	5.79102799867	64
# 168	0.0	6.39866972623	114
# 87	0.860339506173	1.76096561082	1296
# 65	0.941438102298	2.78869703833	2698
# 106	1.0	2.3163525151	820
# 71	0.818921668362	2.45998282945	1966
# 86	0.914264036419	2.02022774222	1318
# 62	0.843119542307	2.21943439408	3321
# 91	1.0	1.61802577392	1121
# 129	0.178885630499	2.15847123215	341
# 107	0.927227101631	6.06093255095	797
# 211	0.0	2.8338336086	13
# 19	0.87297917028	1.52755015722	103794

plasmid_4;54+,65+,87-,168+,187+,151-,145-,150-,143-,216-,155-,28+,211+,107+,116+,67-,106+,117+,91-,62+,86+,71-
