plasmid_0;51_1+,10_0-,51_2-
# 51_1	0.8277439024390244	1	1312
# 10_0	0.0	1	152106
# 51_2	0.8277439024390244	1	1312

plasmid_1;51_0-,16_0+,64_5-,79_1-,73_2-,27_1-,59_0-
# 51_0	0.8277439024390244	1	1312
# 16_0	0.0	1	105607
# 64_5	0.0	1	533
# 79_1	0.0	1	254
# 73_2	0.0	1	331
# 27_1	0.0	1	56665
# 59_0	0.6410614525139665	1	716

plasmid_2;51_3-,16_1+,64_2-,79_0-,73_1-,27_0-,59_1-
# 51_3	0.8277439024390244	1	1312
# 16_1	0.0	1	105607
# 64_2	0.0	1	533
# 79_0	0.0	1	254
# 73_1	0.0	1	331
# 27_0	0.0	1	56665
# 59_1	0.6410614525139665	1	716

plasmid_3;75_2+
# 75_2	1.0	1	303

plasmid_4;55_0+
# 55_0	0.8192771084337349	1	996

plasmid_5;59_3+
# 59_3	0.6410614525139665	1	716

plasmid_6;59_4+
# 59_4	0.6410614525139665	1	716

plasmid_7;59_2+
# 59_2	0.6410614525139665	1	716

plasmid_8;18_0-,48_0-,24_0-
# 18_0	0.15998956022445518	1	91956
# 48_0	0.3247172859450727	1	1857
# 24_0	0.06808612297309403	1	66974

plasmid_9;18_1-,48_1-,24_1-
# 18_1	0.15998956022445518	1	91956
# 48_1	0.3247172859450727	1	1857
# 24_1	0.06808612297309403	1	66974

plasmid_10;14_1+
# 14_1	0.008810839321072518	1	115653

plasmid_11;14_0+
# 14_0	0.008810839321072518	1	115653

