plasmid_0;131_2-,133_0-
# 131_2	0.9204712812960235	1	679
# 133_0	1.0	1	631

plasmid_1;100_5-,63_0+,145_1+,148_0-,140_1+,164_2-,144_1-,39_0+,201_8+,128_9-,155_0+,165_2-,26_0-,109_4-
# 100_5	0.9494109494109494	1	1443
# 63_0	0.0	1	11077
# 145_1	0.0	1	343
# 148_0	0.0	1	319
# 140_1	0.0	1	446
# 164_2	0.0	1	190
# 144_1	0.0	1	367
# 39_0	0.0	0.999999557704702	26646
# 201_8	0.0	1	60
# 128_9	0.0	1	761
# 155_0	0.0	1	292
# 165_2	0.0	1	180
# 26_0	0.0	0.9999991154094039	60818
# 109_4	0.5389507154213037	1	1258

plasmid_2;123_54+
# 123_54	1.0	1	820

plasmid_3;123_36+
# 123_36	1.0	1	820

plasmid_4;123_16+
# 123_16	1.0	1	820

plasmid_5;123_53+
# 123_53	1.0	1	820

plasmid_6;123_32+
# 123_32	1.0	1	820

plasmid_7;123_22+
# 123_22	1.0	1	820

plasmid_8;123_0+
# 123_0	1.0	1	820

plasmid_9;37_0+,78_0-,131_6-
# 37_0	0.1555249828028266	1	31982
# 78_0	0.011942316358720144	1	4438
# 131_6	0.9204712812960235	1	679

plasmid_10;118_1+
# 118_1	0.9667405764966741	1	902

plasmid_11;118_2+
# 118_2	0.9667405764966741	1	902

plasmid_12;131_4+
# 131_4	0.9204712812960235	1	679

plasmid_13;103_1+
# 103_1	0.9095092024539877	1	1304

plasmid_14;137_2+
# 137_2	0.8714555765595463	1	529

plasmid_15;137_7+
# 137_7	0.8714555765595463	1	529

plasmid_16;122_4+
# 122_4	0.8260355029585799	1	845

plasmid_17;171_11+
# 171_11	0.8076923076923077	1	156

plasmid_18;171_1+
# 171_1	0.8076923076923077	1	156

plasmid_19;109_3+
# 109_3	0.5389507154213037	1	1258

plasmid_20;109_2+
# 109_2	0.5389507154213037	1	1258

plasmid_21;109_5+
# 109_5	0.5389507154213037	1	1258

plasmid_22;109_0+
# 109_0	0.5389507154213037	1	1258

plasmid_23;109_1+
# 109_1	0.5389507154213037	0.9999991154094039	1258

plasmid_24;117_1+
# 117_1	0.38638858397365533	1	911

plasmid_25;43_0+
# 43_0	0.2329777531030654	1	25217

plasmid_26;76_0+
# 76_0	0.23135345666991236	1	5135

plasmid_27;76_1+
# 76_1	0.23135345666991236	1	5135

plasmid_28;47_0+
# 47_0	0.2145476772616137	1	19632

plasmid_29;19_0+
# 19_0	0.07491847899318188	0.9999995577047198	74214

plasmid_30;29_0+
# 29_0	0.04142320346631668	1	55621

plasmid_31;29_1+
# 29_1	0.04142320346631668	1	55621

plasmid_32;14_0+
# 14_0	0.012195009794634563	1	108733

