plasmid_0;
37_1+,73_0+,39_2-,74_2+,37_3+,14_0-,49_2+,15_0-,39_3+
28_32-,28_32-
49_3-,24_0-,46_6+,25_0-,52_3-,30_4-,48_5-,13_5-,36_3-,23_4-,52_0-,31_1-,48_8-,84_1-,49_3-
36_1-,26_3-,46_9+,27_4+,36_1-
22_5-,22_5-
plasmid_1;
37_0+,14_2-,49_1+,15_2-,39_1+
73_1-,37_2-,74_1-,39_0+,73_1-
52_2+,23_2+,36_5+,13_0+,48_0+,30_5+,52_2+
31_2-,48_2-,84_0-,49_0-,24_1-,46_0+,27_3+,36_2-,26_5-,46_3+,25_1-,52_1-,31_2-
28_56+,28_56+
22_37-,22_37-
plasmid_2;
23_0+,36_4+,13_4+,48_4+,31_0+
16_3+,16_3+
28_73+,28_73+
46_7+,27_0+,36_0-,26_4-,46_7+
22_31-,22_31-
plasmid_3;
24_2-,46_2+,27_2+
22_27+,22_27+
28_79+,28_79+
16_1+,16_1+
plasmid_4;
13_2+,48_9+,30_2+
28_5+,28_5+
16_5+,16_5+
22_41+,22_41+
plasmid_5;
13_1+,48_6+,30_3+
28_80+,28_80+
22_12-,22_12-
16_2+,16_2+
plasmid_6;
13_3+,48_7+,30_6+
16_6-,16_6-
28_19-,28_19-
22_3+,22_3+
plasmid_7;
26_0-,46_1+,27_1+
28_0+,28_0+
16_0-,16_0-
22_23-,22_23-
plasmid_8;
26_1-,46_4+,27_5+
22_36-,22_36-
28_29+,28_29+
16_7+,16_7+
plasmid_9;
25_2+,46_5-,26_2+
22_6-,22_6-
16_8-,16_8-
28_63+,28_63+
plasmid_10;
30_0-,48_1-
16_4+,16_4+
22_40+,22_40+
28_11+,28_11+
plasmid_11;
30_1-,48_3-
28_2+,28_2+
22_0+,22_0+
16_10-,16_10-
plasmid_12;
16_11-,16_11-
28_59-,28_59-
22_1+,22_1+
plasmid_13;
28_14-,28_14-
22_18+,22_18+
plasmid_14;
22_13-,22_13-
28_7+,28_7+
plasmid_15;
22_17-,22_17-
28_70+,28_70+
plasmid_16;
28_4-,28_4-
22_2-,22_2-
plasmid_17;
22_26-,22_26-
28_66+,28_66+
plasmid_18;
22_33-,22_33-
28_76+,28_76+
plasmid_19;
28_38+,28_38+
22_39-,22_39-
plasmid_20;
28_3+,28_3+
22_38-,22_38-
plasmid_21;
28_10+,28_10+
22_22-,22_22-
plasmid_22;
22_4-,22_4-
28_8+,28_8+
plasmid_23;
22_8+,22_8+
28_65-,28_65-
plasmid_24;
22_28+,22_28+
28_9-,28_9-
plasmid_25;
22_42+,22_42+
28_34+,28_34+
plasmid_26;
22_14-,22_14-
28_26-,28_26-
plasmid_27;
28_13+,28_13+
22_15-,22_15-
plasmid_28;
22_35+,22_35+
28_15-,28_15-
plasmid_29;
28_54+,28_62+
22_29+,22_29+
plasmid_30;
28_18+,28_18+
22_34-,22_34-
plasmid_31;
28_40-,28_57-
22_11-,22_11-
plasmid_32;
28_45-,28_72-
22_32-,22_32-
plasmid_33;
28_81+,28_84+
22_30-,22_30-
plasmid_34;
22_21+,22_21+
28_6-,28_6-
plasmid_35;
22_24+,22_24+
28_27-,28_27-
plasmid_36;
28_36-,28_53-
22_25+,22_25+
plasmid_37;
28_37+,28_37+
22_20-,22_20-
plasmid_38;
28_41+,28_83+
22_10+,22_10+
plasmid_39;
22_16+,22_16+
28_20-,28_20-
plasmid_40;
22_9+,22_9+
28_39-,28_39-
plasmid_41;
22_19+,22_19+
28_58+,28_58+
plasmid_42;
28_12-,28_12-
plasmid_43;
28_17-,28_17-
plasmid_44;
28_44+,28_44+
plasmid_45;
28_47-,28_47-
plasmid_46;
28_51-,28_51-
plasmid_47;
28_55-,28_55-
plasmid_48;
28_61-,28_61-
plasmid_49;
28_64+,28_67+
plasmid_50;
28_69-,28_71-
plasmid_51;
28_74-,28_75-
plasmid_52;
28_77+,28_78+
plasmid_53;
28_82+
plasmid_54;
22_7+
