plasmid_0;157+,188+,205+,242-,188-,2-,223-
plasmid_1;127+,173+,70+
plasmid_2;229+,241+,103+,219-,229+,238+,78+,183-,204+,250+,125-,121+,204+,148+,207-,222+,184-,234+
plasmid_3;239-,71-,178+,225-,137-,236-,187+,145+,191-,79+,232-,191+,235+,95+
plasmid_4;45+,209-,140-,111+,233-,180-,130-,158-
plasmid_5;90+
plasmid_6;168+,224+,216+,248+,167+,48-,178-,247+,104-,213-,192-,101+
plasmid_7;39-,180-,240+,211+,99-,232-,191+,235+,34+,143-,209-,128-
plasmid_8;98+
plasmid_9;92+,226+,219-,229+,193-,241-,229-
plasmid_10;204-,88+,229-,219+,226-,231+,139-,231-
plasmid_11;77+
plasmid_12;229+,241+,162+,237+,229-,219+,226-,231+,215+,187-,249+,253-,203+,220+
plasmid_13;94+,234+
plasmid_14;136-,210-,114+
plasmid_15;69+,239+,173-
plasmid_16;234-,163+,241-,229-,219+,226-
plasmid_17;116+,59-
plasmid_18;154+
plasmid_19;84+
plasmid_20;82+
plasmid_21;234-,160+,175+,118+
plasmid_22;14+,242-,188-,41+,167-,248-,208+,168-,221-
plasmid_23;226+,219-,229+,115+,245-,180+,233+,22+,232-,191+,235+,100-
plasmid_24;230-,119+,172-,129+,190+,214+
plasmid_25;197+,210+,124+,190+,198+
plasmid_26;200+,126-,200-
plasmid_27;200+
plasmid_28;46-,233-,180-,245+,42-,202+,61-
plasmid_29;43-,202+,156+
plasmid_30;202+
plasmid_31;157+,188+,242+,23-
plasmid_32;27+,167-,244-,177-,188+,242+
plasmid_33;188+,242+
plasmid_34;54+,181+,228-,112+
plasmid_35;4-,181+,228-,15+
plasmid_36;181+,228-,36-
plasmid_37;181+,228-
plasmid_38;155-,247-,178+,28-
plasmid_39;178+,53-,247-,178+,50-
plasmid_40;24+,246-,180+,233+,26-
plasmid_41;31-,245-,180+,233+,106-,172-,55+,243+,167+,74-,172-,83-
plasmid_42;29+,246-,180+,233+
plasmid_43;62+,211-,240-,180+,233+
plasmid_44;67-,245-,180+,233+
plasmid_45;217-,246-,180+
plasmid_46;180+
plasmid_47;191+,235+,17-
plasmid_48;191+,235+
plasmid_49;209+
plasmid_50;146+,64-,175+,87+
plasmid_51;189-,175+,85+
plasmid_52;25+,172+,20+,110-
plasmid_53;172+,93-
plasmid_54;51+,244+,167+,97-
plasmid_55;81-,243+,167+,185+,179+
plasmid_56;244+,167+
