plasmid_0;19_1-19_1-,27_39-,27_39-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_1	0.8217630050136616	0.411783431042258	1	37697
# 19_1	0.8217630050136616	0.411783431042258	1	37697
# 27_39	0.4661259541984733	0.5558206106870229	1	2096
# 27_39	0.4661259541984733	0.5558206106870229	1	2096

plasmid_1;19_2+19_2+,27_38+,27_38+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 19_2	0.8217630050136616	0.411783431042258	1	37697
# 19_2	0.8217630050136616	0.411783431042258	1	37697
# 27_38	0.4661259541984733	0.5558206106870229	1	2096
# 27_38	0.4661259541984733	0.5558206106870229	1	2096

plasmid_2;27_32-27_32-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_32	0.4661259541984733	0.5558206106870229	1	2096
# 27_32	0.4661259541984733	0.5558206106870229	1	2096

plasmid_3;27_40-27_40-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_40	0.4661259541984733	0.5558206106870229	1	2096
# 27_40	0.4661259541984733	0.5558206106870229	1	2096

plasmid_4;27_19-27_19-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_19	0.4661259541984733	0.5558206106870229	1	2096
# 27_19	0.4661259541984733	0.5558206106870229	1	2096

plasmid_5;27_33+27_33+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_33	0.4661259541984733	0.5558206106870229	1	2096
# 27_33	0.4661259541984733	0.5558206106870229	1	2096

plasmid_6;27_31+27_31+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_31	0.4661259541984733	0.5558206106870229	1	2096
# 27_31	0.4661259541984733	0.5558206106870229	1	2096

plasmid_7;27_4-,27_20-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_4	0.4661259541984733	0.5558206106870229	1	2096
# 27_20	0.4661259541984733	0.5558206106870229	1	2096

plasmid_8;27_5-,27_22-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_5	0.4661259541984733	0.5558206106870229	1	2096
# 27_22	0.4661259541984733	0.5558206106870229	1	2096

plasmid_9;27_6-,27_29-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_6	0.4661259541984733	0.5558206106870229	1	2096
# 27_29	0.4661259541984733	0.5558206106870229	1	2096

plasmid_10;27_7-,27_34-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_7	0.4661259541984733	0.5558206106870229	1	2096
# 27_34	0.4661259541984733	0.5558206106870229	1	2096

plasmid_11;27_8-,27_26-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_8	0.4661259541984733	0.5558206106870229	1	2096
# 27_26	0.4661259541984733	0.5558206106870229	1	2096

plasmid_12;27_0+,27_25+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_0	0.4661259541984733	0.5558206106870229	1	2096
# 27_25	0.4661259541984733	0.5558206106870229	1	2096

plasmid_13;27_1+,27_23+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_1	0.4661259541984733	0.5558206106870229	1	2096
# 27_23	0.4661259541984733	0.5558206106870229	1	2096

plasmid_14;27_2+,27_35+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_2	0.4661259541984733	0.5558206106870229	1	2096
# 27_35	0.4661259541984733	0.5558206106870229	1	2096

plasmid_15;27_3+,27_24+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_3	0.4661259541984733	0.5558206106870229	1	2096
# 27_24	0.4661259541984733	0.5558206106870229	1	2096

plasmid_16;27_9-,27_11-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_9	0.4661259541984733	0.5558206106870229	1	2096
# 27_11	0.4661259541984733	0.5558206106870229	1	2096

plasmid_17;27_10+,27_13+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_10	0.4661259541984733	0.5558206106870229	1	2096
# 27_13	0.4661259541984733	0.5558206106870229	1	2096

plasmid_18;27_12-,27_15-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_12	0.4661259541984733	0.5558206106870229	1	2096
# 27_15	0.4661259541984733	0.5558206106870229	1	2096

plasmid_19;27_14-,27_41-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_14	0.4661259541984733	0.5558206106870229	1	2096
# 27_41	0.4661259541984733	0.5558206106870229	1	2096

plasmid_20;27_16-,27_18-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_16	0.4661259541984733	0.5558206106870229	1	2096
# 27_18	0.4661259541984733	0.5558206106870229	1	2096

plasmid_21;27_17-,27_28-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_17	0.4661259541984733	0.5558206106870229	1	2096
# 27_28	0.4661259541984733	0.5558206106870229	1	2096

plasmid_22;27_21-,27_30-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_21	0.4661259541984733	0.5558206106870229	1	2096
# 27_30	0.4661259541984733	0.5558206106870229	1	2096

plasmid_23;27_27-,27_36-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_27	0.4661259541984733	0.5558206106870229	1	2096
# 27_36	0.4661259541984733	0.5558206106870229	1	2096

plasmid_24;27_37+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 27_37	0.4661259541984733	0.5558206106870229	1	2096

