Contig	Gene_coverage	Read_depth	GC_cont	Length
24	0.922377395258	2.55198434495	0.537836960052	3079
Link list:	(('24', 'h'), ('49', 't'))	(('46', 't'), ('24', 't'))	
25	0.866458414682	2.18556875068	0.599765716517	2561
Link list:	(('46', 'h'), ('25', 'h'))	(('52', 'h'), ('25', 't'))	
26	0.886533665835	5.88596228315	0.571903574397	2406
Link list:	(('26', 'h'), ('36', 't'))	(('46', 't'), ('26', 't'))	
27	0.960901563937	5.71002840098	0.584176632935	2174
Link list:	(('36', 'h'), ('27', 'h'))	(('46', 'h'), ('27', 't'))	
20	0.0	1.17960009592	0.678387096774	6200
Link list:	(('1', 'h'), ('20', 't'))	(('20', 'h'), ('12', 'h'))	(('20', 'h'), ('8', 'h'))	(('20', 't'), ('5', 't'))	
21	0.0	1.06781073019	0.497855917667	4664
Link list:	(('21', 'h'), ('79', 't'))	(('33', 't'), ('21', 't'))	
22	0.388790035587	42.3780170787	0.551304863582	3372
Link list:	(('22', 'h'), ('22', 't'))	
23	0.793968253968	4.86453416434	0.572380952381	3150
Link list:	(('23', 'h'), ('36', 't'))	(('52', 'h'), ('23', 't'))	
28	0.472328244275	84.9987492556	0.555820610687	2096
Link list:	(('28', 'h'), ('28', 't'))	
29	0.0	10.7300146966	0.537407195888	1751
Link list:	(('29', 'h'), ('65', 't'))	(('29', 'h'), ('83', 't'))	(('87', 't'), ('29', 't'))	(('68', 't'), ('29', 't'))	(('58', 't'), ('29', 't'))	
4	0.0	1.02365400991	0.524917707371	439286
Link list:	(('75', 'h'), ('4', 'h'))	(('81', 't'), ('4', 't'))	
8	0.0	0.978416872368	0.526198183923	161557
Link list:	(('20', 'h'), ('8', 'h'))	
59	0.0	2.80568703128	0.327102803738	107
Link list:	(('81', 'h'), ('59', 'h'))	(('67', 't'), ('59', 't'))	(('66', 't'), ('59', 't'))	
58	0.0	3.29160788762	0.48623853211	109
Link list:	(('58', 'h'), ('3', 't'))	(('69', 'h'), ('58', 'h'))	(('58', 't'), ('29', 't'))	
55	0.0	6.2634877127	0.540983606557	122
Link list:	(('55', 'h'), ('41', 'h'))	(('71', 'h'), ('55', 't'))	(('72', 't'), ('55', 't'))	
54	0.0	2.14796380614	0.504	125
Link list:	(('2', 'h'), ('54', 't'))	(('54', 'h'), ('60', 't'))	(('64', 'h'), ('54', 't'))	
57	0.0	1.26981092268	0.477064220183	109
Link list:	(('64', 'h'), ('57', 'h'))	(('81', 't'), ('57', 't'))	
56	0.0	4.95989974496	0.524590163934	122
Link list:	(('41', 'h'), ('56', 't'))	(('56', 'h'), ('70', 't'))	(('56', 'h'), ('72', 't'))	
51	0.0	1.31672235252	0.459854014599	137
Link list:	(('51', 'h'), ('79', 't'))	(('53', 'h'), ('51', 't'))	
50	0.0	2.74098058498	0.474683544304	158
Link list:	(('53', 'h'), ('50', 'h'))	(('87', 'h'), ('50', 't'))	
53	0.0	6.21641725823	0.595419847328	131
Link list:	(('11', 'h'), ('53', 't'))	(('53', 'h'), ('50', 'h'))	(('53', 'h'), ('51', 't'))	(('53', 'h'), ('69', 't'))	(('68', 'h'), ('53', 'h'))	(('76', 't'), ('53', 't'))	(('53', 't'), ('2', 't'))	
52	0.0	3.4824787121	0.715328467153	137
Link list:	(('30', 'h'), ('52', 't'))	(('31', 'h'), ('52', 't'))	(('52', 'h'), ('23', 't'))	(('52', 'h'), ('25', 't'))	
88	0.0	1.53318883869	0.0	1
Link list:	(('40', 'h'), ('88', 't'))	(('88', 'h'), ('86', 'h'))	
82	0.0	2.25061789772	0.416666666667	12
Link list:	(('10', 'h'), ('82', 't'))	(('82', 'h'), ('76', 'h'))	(('82', 't'), ('9', 't'))	
83	0.0	6.96750269637	0.454545454545	11
Link list:	(('29', 'h'), ('83', 't'))	(('83', 'h'), ('38', 't'))	
80	0.0	1.22284237248	0.428571428571	14
Link list:	(('80', 'h'), ('45', 'h'))	(('80', 't'), ('60', 't'))	
81	0.0	4.52695529287	0.5	14
Link list:	(('45', 'h'), ('81', 't'))	(('81', 'h'), ('59', 'h'))	(('81', 'h'), ('60', 't'))	(('81', 't'), ('4', 't'))	(('81', 't'), ('11', 't'))	(('81', 't'), ('57', 't'))	
86	0.0	9.38298846109	0.5	10
Link list:	(('86', 'h'), ('44', 't'))	(('88', 'h'), ('86', 'h'))	(('86', 't'), ('42', 't'))	
87	0.0	5.2294293975	0.5	10
Link list:	(('87', 'h'), ('79', 'h'))	(('87', 'h'), ('50', 't'))	(('87', 't'), ('29', 't'))	
84	0.0	2.48846033511	0.636363636364	11
Link list:	(('49', 'h'), ('84', 't'))	(('84', 'h'), ('48', 't'))	
85	0.0	3.5764051252	0.454545454545	11
Link list:	(('40', 'h'), ('85', 't'))	(('85', 'h'), ('42', 't'))	
