plasmid_0;113-,83+,92-,89-,30-,56+,47+,102+,106-,71+,99+,38+,93+,21-,119-,90-,81+,101-,49-,60-,43-,104+,111-,65-,33-,55-,42-,73+,82+,112-,125-,36-,76-,54+,63+,39-
# 113	1.0	0.948165447943	85
# 83	1.0	4.11008369814	345
# 92	0.0	3.78139051236	196
# 89	0.925110132159	3.45269732658	227
# 30	0.957392651616	0.876373881212	18072
# 56	0.970774091627	6.18301218817	2532
# 47	0.762178120387	0.762525872433	6097
# 102	1.0	3.44481546834	127
# 106	0.666666666667	0.946850140541	123
# 71	1.0	3.19804319333	671
# 99	1.0	3.57437842086	149
# 38	0.940247003269	0.834963046812	11012
# 93	1.0	1.56243414777	174
# 21	0.8869949766	0.831100625646	46582
# 119	0.0	3.17216424824	46
# 90	1.0	4.02554321241	217
# 81	1.0	5.00462228573	359
# 101	1.0	1.90414719854	128
# 49	0.813608049832	1.09184024151	4174
# 60	0.921610169492	1.76350218171	1888
# 43	0.758164852255	0.722886557627	7716
# 104	1.0	2.62627353541	125
# 111	1.0	1.24506782981	87
# 65	1.0	2.53905147885	1457
# 33	0.00681771227877	0.999673361183	14521
# 55	0.88652207591	5.26931532745	2582
# 42	0.0	0.765060175774	10045
# 73	0.562152133581	2.45918814582	539
# 82	0.0	5.83377976187	352
# 112	0.0	3.11607948063	86
# 125	0.0	1.97077758908	35
# 36	0.531732826242	1.06568474409	12621
# 76	1.0	2.46827235006	492
# 54	0.952986512524	1.18946386012	2595
# 63	1.0	2.31384968706	1632
# 39	0.819690790098	0.713055763938	10543

plasmid_1;22+,71+,99+,87+,81+,102-,27+,56+,37+,82+,112-,125-,36-,76-,54+,63+
# 22	0.86954887218	1.40647566532	42560
# 71	1.0	2.19804319333	671
# 99	1.0	2.57437842086	149
# 87	0.0	0.888254155489	239
# 81	1.0	3.00462228573	359
# 102	1.0	1.44481546834	127
# 27	0.00559853815948	1.0253597403	25721
# 56	0.970774091627	4.18301218817	2532
# 37	0.347895893189	1.08328148816	11834
# 82	0.0	4.83377976187	352
# 112	0.0	2.11607948063	86
# 125	0.0	0.970777589081	35
# 36	0.531732826242	0.0656847440949	12621
# 76	1.0	0.468272350059	492
# 54	0.952986512524	0.189463860116	2595
# 63	1.0	1.31384968706	1632

plasmid_2;90-,81+,102-,96+,99+,22+,71+
# 90	1.0	2.02554321241	217
# 81	1.0	2.00462228573	359
# 102	1.0	0.444815468339	127
# 96	1.0	0.76529177513	161
# 99	1.0	1.57437842086	149
# 22	0.86954887218	0.406475665323	42560
# 71	1.0	1.19804319333	671

plasmid_3;24-,79+,62-
# 24	0.876333078686	2.70034177754	32725
# 79	0.861904761905	8.05577739867	420
# 62	0.91686746988	2.61763975291	1660

plasmid_4;24-,79+,62-
# 24	0.876333078686	1.70034177754	32725
# 79	0.861904761905	7.05577739867	420
# 62	0.91686746988	1.61763975291	1660

plasmid_5;24+,79-,62+
# 24	0.876333078686	0.700341777543	32725
# 79	0.861904761905	6.05577739867	420
# 62	0.91686746988	0.617639752907	1660

plasmid_6;104+,65-
# 104	1.0	0.626273535414	125
# 65	1.0	0.539051478847	1457

plasmid_7;56+
# 56	0.970774091627	1.18301218817	2532

plasmid_8;31+
# 31	0.880427562051	28.306628093	16559

plasmid_9;31+
# 31	0.880427562051	27.306628093	16559

plasmid_10;31+
# 31	0.880427562051	26.306628093	16559

plasmid_11;31+
# 31	0.880427562051	25.306628093	16559

plasmid_12;31+
# 31	0.880427562051	24.306628093	16559

plasmid_13;31+
# 31	0.880427562051	23.306628093	16559

plasmid_14;31+
# 31	0.880427562051	22.306628093	16559

plasmid_15;31+
# 31	0.880427562051	21.306628093	16559

plasmid_16;31+
# 31	0.880427562051	20.306628093	16559

plasmid_17;31+
# 31	0.880427562051	19.306628093	16559

plasmid_18;31+
# 31	0.880427562051	18.306628093	16559

