Contig	Gene_coverage	Read_depth	GC_cont	Length
56	0.0	3.21687364083	0.591304347826	115
Link list:	(('50', 'h'), ('56', 't'))	(('56', 'h'), ('10', 't'))	(('56', 'h'), ('18', 't'))	
54	0.0	6.15857405105	0.460317460317	126
Link list:	(('54', 'h'), ('44', 't'))	(('61', 'h'), ('54', 'h'))	(('63', 't'), ('54', 't'))	
42	0.947229551451	1.47113020485	0.598944591029	758
Link list:	(('42', 'h'), ('47', 't'))	(('46', 'h'), ('42', 'h'))	(('52', 't'), ('42', 't'))	(('42', 't'), ('13', 't'))	
48	0.0	0.941636268273	0.53023255814	215
Link list:	(('48', 'h'), ('70', 't'))	(('48', 't'), ('45', 't'))	
43	0.743902439024	6.70248383197	0.541463414634	410
Link list:	(('43', 'h'), ('39', 'h'))	(('43', 'h'), ('26', 'h'))	(('43', 't'), ('26', 't'))	(('43', 't'), ('39', 't'))	
60	0.0	2.15878588517	0.41095890411	73
Link list:	(('57', 'h'), ('60', 't'))	(('60', 'h'), ('35', 'h'))	
61	0.0	4.99999526628	0.323943661972	71
Link list:	(('51', 'h'), ('61', 't'))	(('61', 'h'), ('54', 'h'))	(('61', 'h'), ('55', 't'))	
62	0.0	0.297065280885	0.507692307692	65
Link list:	(('62', 'h'), ('55', 'h'))	(('68', 't'), ('62', 't'))	(('67', 't'), ('62', 't'))	
63	0.0	7.22632451946	0.492307692308	65
Link list:	(('55', 'h'), ('63', 't'))	(('63', 'h'), ('67', 't'))	(('63', 'h'), ('68', 't'))	(('63', 't'), ('54', 't'))	
64	0.0	1.78070600643	0.56862745098	51
Link list:	(('64', 'h'), ('58', 'h'))	(('64', 't'), ('38', 't'))	
49	0.0	2.34637931704	0.511848341232	211
Link list:	(('49', 'h'), ('18', 'h'))	(('49', 'h'), ('19', 't'))	(('49', 't'), ('38', 't'))	
66	0.0	3.9933204797	0.564102564103	39
Link list:	(('58', 'h'), ('66', 't'))	(('66', 'h'), ('71', 't'))	(('66', 't'), ('27', 't'))	
67	0.0	1.62299088948	0.588235294118	34
Link list:	(('63', 'h'), ('67', 't'))	(('67', 'h'), ('45', 'h'))	(('67', 't'), ('62', 't'))	
68	0.0	4.67817450587	0.617647058824	34
Link list:	(('63', 'h'), ('68', 't'))	(('68', 'h'), ('45', 'h'))	(('68', 't'), ('62', 't'))	
69	0.0	5.87495420123	0.633333333333	30
Link list:	(('59', 'h'), ('69', 't'))	(('69', 'h'), ('35', 't'))	
52	1.0	0.7901873739	0.625	168
Link list:	(('52', 'h'), ('36', 'h'))	(('52', 'h'), ('36', 't'))	(('52', 't'), ('42', 't'))	
53	0.0	3.14454471522	0.485074626866	134
Link list:	(('53', 'h'), ('37', 'h'))	(('53', 'h'), ('37', 't'))	(('53', 't'), ('1', 't'))	(('53', 't'), ('11', 't'))	
24	0.0	1.06342621214	0.519000334709	44815
Link list:	(('24', 'h'), ('57', 't'))	(('34', 't'), ('24', 't'))	
25	0.0	0.887827798506	0.524612008152	38274
Link list:	
26	0.763904532046	4.85045647294	0.396594261196	37290
Link list:	(('43', 'h'), ('26', 'h'))	(('43', 't'), ('26', 't'))	
27	0.0	1.00955549391	0.547598701077	35106
Link list:	(('66', 't'), ('27', 't'))	
20	0.0	0.888678375382	0.536516766149	63998
Link list:	
21	0.0	0.94175934508	0.504061429115	63032
Link list:	
22	0.834304729253	1.662433219	0.516063325603	49585
Link list:	(('40', 'h'), ('22', 't'))	
23	0.0	0.88179798173	0.516804906662	48587
Link list:	
46	0.0	0.931838881099	0.556675062972	397
Link list:	(('46', 'h'), ('42', 'h'))	(('46', 't'), ('40', 't'))	
47	0.768261964736	1.58408086714	0.574307304786	397
Link list:	(('42', 'h'), ('47', 't'))	(('47', 'h'), ('40', 't'))	
44	0.0	5.33561885385	0.46683046683	407
Link list:	(('54', 'h'), ('44', 't'))	(('72', 'h'), ('44', 'h'))	(('73', 'h'), ('44', 'h'))	
45	0.0	10.4512005196	0.537313432836	402
Link list:	(('67', 'h'), ('45', 'h'))	(('68', 'h'), ('45', 'h'))	(('59', 't'), ('45', 't'))	(('48', 't'), ('45', 't'))	
28	0.0	1.02334696014	0.532819005633	32664
Link list:	(('41', 'h'), ('28', 'h'))	(('58', 't'), ('28', 't'))	
29	0.0	1.19305188823	0.506616039581	26073
Link list:	(('41', 'h'), ('29', 'h'))	(('58', 't'), ('29', 't'))	
40	0.75354969574	3.37009148394	0.530425963489	986
Link list:	(('40', 'h'), ('4', 't'))	(('40', 'h'), ('22', 't'))	(('47', 'h'), ('40', 't'))	(('46', 't'), ('40', 't'))	
41	0.0	1.60389362945	0.539256198347	968
Link list:	(('33', 'h'), ('41', 't'))	(('41', 'h'), ('29', 'h'))	(('41', 'h'), ('28', 'h'))	(('41', 't'), ('8', 't'))	
1	0.00202813437588	0.980201427465	0.499404135717	500953
Link list:	(('53', 't'), ('1', 't'))	
3	0.0	1.0	0.525495361833	360595
Link list:	
2	0.0	1.05314353175	0.526731873771	383905
Link list:	(('34', 'h'), ('2', 't'))	
5	0.0	1.06269698206	0.519328414922	297386
Link list:	(('71', 't'), ('5', 't'))	
4	0.0	1.16302588116	0.51551828506	303964
Link list:	(('4', 'h'), ('57', 't'))	(('40', 'h'), ('4', 't'))	
7	0.0	0.931930005273	0.513475758383	244105
Link list:	
6	0.0	0.914193270996	0.536354270015	262060
Link list:	(('65', 'h'), ('6', 't'))	
9	0.0	0.965153879144	0.536394236058	227275
Link list:	(('9', 'h'), ('58', 't'))	(('34', 't'), ('9', 't'))	
8	0.00562783503815	1.01978862032	0.539596303565	230817
Link list:	(('41', 't'), ('8', 't'))	
51	0.0	3.95604027831	0.531428571429	175
Link list:	(('51', 'h'), ('61', 't'))	(('72', 'h'), ('51', 't'))	(('73', 'h'), ('51', 't'))	
39	0.0	4.39802731548	0.376091336467	1489
Link list:	(('43', 'h'), ('39', 'h'))	(('43', 't'), ('39', 't'))	
65	0.0	1.26232614218	0.487804878049	41
Link list:	(('65', 'h'), ('6', 't'))	(('65', 'h'), ('33', 't'))	(('65', 't'), ('57', 't'))	
38	0.0	8.01868613616	0.527990571597	1697
Link list:	(('38', 'h'), ('72', 't'))	(('38', 'h'), ('73', 't'))	(('71', 'h'), ('38', 't'))	(('64', 't'), ('38', 't'))	(('49', 't'), ('38', 't'))	
73	0.0	5.68046799482	0.545454545455	11
Link list:	(('38', 'h'), ('73', 't'))	(('73', 'h'), ('44', 'h'))	(('73', 'h'), ('51', 't'))	
72	0.0	5.68653686482	0.363636363636	11
Link list:	(('38', 'h'), ('72', 't'))	(('72', 'h'), ('44', 'h'))	(('72', 'h'), ('51', 't'))	
71	0.0	3.4995739649	0.714285714286	14
Link list:	(('66', 'h'), ('71', 't'))	(('71', 'h'), ('38', 't'))	(('71', 't'), ('5', 't'))	
70	0.0	2.32657460206	0.566666666667	30
Link list:	(('48', 'h'), ('70', 't'))	(('59', 'h'), ('70', 't'))	(('70', 'h'), ('35', 't'))	
59	0.0	9.75238911016	0.426666666667	75
Link list:	(('59', 'h'), ('69', 't'))	(('59', 'h'), ('70', 't'))	(('59', 't'), ('45', 't'))	
58	0.0	4.97040949547	0.47619047619	105
Link list:	(('9', 'h'), ('58', 't'))	(('58', 'h'), ('66', 't'))	(('64', 'h'), ('58', 'h'))	(('58', 't'), ('28', 't'))	(('58', 't'), ('29', 't'))	
11	0.0	0.96612828692	0.522135174878	199253
Link list:	(('53', 't'), ('11', 't'))	
10	0.0	1.06592576428	0.507418254687	207596
Link list:	(('56', 'h'), ('10', 't'))	
13	0.00723742482868	1.15331076629	0.510541466598	171608
Link list:	(('34', 'h'), ('13', 'h'))	(('42', 't'), ('13', 't'))	
12	0.00416825391567	1.15392777528	0.527601570134	181131
Link list:	
15	0.0	0.899547077352	0.533020180103	125817
Link list:	
14	0.0	0.912693810467	0.528006424413	144449
Link list:	
17	0.00164364823721	0.985772192678	0.496911265058	90652
Link list:	
16	0.0	1.08095234939	0.52095533941	117822
Link list:	(('16', 'h'), ('57', 't'))	
19	0.0	1.04912445053	0.534220433597	77030
Link list:	(('49', 'h'), ('19', 't'))	
18	0.0	1.04655829912	0.532462858621	88917
Link list:	(('49', 'h'), ('18', 'h'))	(('56', 'h'), ('18', 't'))	
31	0.0	0.969161686001	0.535802672826	12122
Link list:	
30	0.0	0.817559225979	0.53669008587	17934
Link list:	
37	0.0	0.650380212658	0.513497989661	1741
Link list:	(('53', 'h'), ('37', 'h'))	(('53', 'h'), ('37', 't'))	
36	0.799214806506	1.38318898633	0.526079641054	1783
Link list:	(('52', 'h'), ('36', 'h'))	(('52', 'h'), ('36', 't'))	
35	0.0	6.80894219272	0.538663171691	2289
Link list:	(('35', 'h'), ('50', 't'))	(('60', 'h'), ('35', 'h'))	(('69', 'h'), ('35', 't'))	(('70', 'h'), ('35', 't'))	
34	0.0	1.1042588362	0.637458471761	2408
Link list:	(('34', 'h'), ('13', 'h'))	(('34', 'h'), ('2', 't'))	(('34', 't'), ('9', 't'))	(('34', 't'), ('24', 't'))	
33	0.0	1.16248079292	0.494761904762	4200
Link list:	(('33', 'h'), ('41', 't'))	(('65', 'h'), ('33', 't'))	
55	0.0	2.55010267446	0.460317460317	126
Link list:	(('55', 'h'), ('63', 't'))	(('61', 'h'), ('55', 't'))	(('62', 'h'), ('55', 'h'))	
32	0.0	1.23493587225	0.451744186047	10320
Link list:	
57	0.0	3.47139718684	0.607142857143	112
Link list:	(('4', 'h'), ('57', 't'))	(('16', 'h'), ('57', 't'))	(('24', 'h'), ('57', 't'))	(('57', 'h'), ('50', 'h'))	(('57', 'h'), ('60', 't'))	(('65', 't'), ('57', 't'))	
50	0.0	7.36134095968	0.491525423729	177
Link list:	(('35', 'h'), ('50', 't'))	(('50', 'h'), ('56', 't'))	(('57', 'h'), ('50', 'h'))	
