plasmid_0;23_6+23_6+,20_3+,20_3+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_6	0.8503084098089364	0.48533172859936813	1	6647
# 23_6	0.8503084098089364	0.48533172859936813	1	6647
# 20_3	0.8217412064300493	0.4117725078253488	1	37698
# 20_3	0.8217412064300493	0.4117725078253488	1	37698

plasmid_1;20_1+20_1+,23_14+,23_14+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 20_1	0.8217412064300493	0.4117725078253488	1	37698
# 20_1	0.8217412064300493	0.4117725078253488	1	37698
# 23_14	0.8503084098089364	0.48533172859936813	1	6647
# 23_14	0.8503084098089364	0.48533172859936813	1	6647

plasmid_2;23_19+23_19+,20_0-,20_0-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_19	0.8503084098089364	0.48533172859936813	1	6647
# 23_19	0.8503084098089364	0.48533172859936813	1	6647
# 20_0	0.8217412064300493	0.4117725078253488	1	37698
# 20_0	0.8217412064300493	0.4117725078253488	1	37698

plasmid_3;23_3+23_3+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_3	0.8503084098089364	0.48533172859936813	1	6647
# 23_3	0.8503084098089364	0.48533172859936813	1	6647

plasmid_4;23_21+23_21+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_21	0.8503084098089364	0.48533172859936813	1	6647
# 23_21	0.8503084098089364	0.48533172859936813	1	6647

plasmid_5;23_13+23_13+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_13	0.8503084098089364	0.48533172859936813	1	6647
# 23_13	0.8503084098089364	0.48533172859936813	1	6647

plasmid_6;23_10-23_10-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_10	0.8503084098089364	0.48533172859936813	1	6647
# 23_10	0.8503084098089364	0.48533172859936813	1	6647

plasmid_7;23_20+23_20+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_20	0.8503084098089364	0.48533172859936813	1	6647
# 23_20	0.8503084098089364	0.48533172859936813	1	6647

plasmid_8;23_16-23_16-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_16	0.8503084098089364	0.48533172859936813	1	6647
# 23_16	0.8503084098089364	0.48533172859936813	1	6647

plasmid_9;23_1-23_1-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_1	0.8503084098089364	0.48533172859936813	1	6647
# 23_1	0.8503084098089364	0.48533172859936813	1	6647

plasmid_10;23_4-23_4-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_4	0.8503084098089364	0.48533172859936813	1	6647
# 23_4	0.8503084098089364	0.48533172859936813	1	6647

plasmid_11;23_2-23_2-
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_2	0.8503084098089364	0.48533172859936813	1	6647
# 23_2	0.8503084098089364	0.48533172859936813	1	6647

plasmid_12;23_17+23_17+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_17	0.8503084098089364	0.48533172859936813	1	6647
# 23_17	0.8503084098089364	0.48533172859936813	1	6647

plasmid_13;23_18+23_18+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_18	0.8503084098089364	0.48533172859936813	1	6647
# 23_18	0.8503084098089364	0.48533172859936813	1	6647

plasmid_14;23_22+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 23_22	0.8503084098089364	0.48533172859936813	1	6647

plasmid_15;20_2+
#Contig	Gene_coverage	GC_cont	Read_depth	Length
# 20_2	0.8217412064300493	0.4117725078253488	1	37698

