plasmid_0;92_3+
# 92_3	1.0	1	132

plasmid_1;92_16+
# 92_16	1.0	1	132

plasmid_2;92_17+
# 92_17	1.0	1	132

plasmid_3;92_10+
# 92_10	1.0	1	132

plasmid_4;92_22+
# 92_22	1.0	1	132

plasmid_5;92_4+
# 92_4	1.0	1	132

plasmid_6;62_5+
# 62_5	0.8959660297239915	1	471

plasmid_7;66_5+
# 66_5	0.8969298245614035	1	456

plasmid_8;66_7+
# 66_7	0.8969298245614035	1	456

plasmid_9;66_3+
# 66_3	0.8969298245614035	1	456

plasmid_10;66_0+
# 66_0	0.8969298245614035	1	456

plasmid_11;62_1+
# 62_1	0.8959660297239915	1	471

plasmid_12;62_0+
# 62_0	0.8959660297239915	1	471

plasmid_13;35_0+
# 35_0	0.08463541666666667	1	2304

plasmid_14;35_1+
# 35_1	0.08463541666666667	1	2304

plasmid_15;11_0+
# 11_0	0.00702783294049232	1	161643

plasmid_16;11_1+
# 11_1	0.00702783294049232	1	161643

