file_id	cluster_id	contig_id	contig_length	circularity_status	rep_type	rep_type_accession	relaxase_type	relaxase_type_accession	mash_nearest_neighbor	 mash_neighbor_distance	repetitive_dna_id	match_type	score	contig_match_start	contig_match_end
assembly.fasta	476	assembly.fasta|43_length=4478_depth=0.57x	4478	Incomplete					LN735558	0.00701675					
assembly.fasta	476	assembly.fasta|45_length=2957_depth=0.55x	2957	Incomplete					LN735558	0.00701675					
assembly.fasta	476	assembly.fasta|38_length=12186_depth=0.59x	12186	Incomplete					LN735558	0.00701675					
assembly.fasta	476	assembly.fasta|30_length=32681_depth=0.58x	32681	Incomplete					LN735558	0.00701675					
assembly.fasta	476	assembly.fasta|20_length=80948_depth=0.64x	80948	Incomplete			MOBP	NC_019097	LN735558	0.00701675					
assembly.fasta	476	assembly.fasta|46_length=2497_depth=0.44x	2497	Incomplete					LN735558	0.00701675					
assembly.fasta	472	assembly.fasta|33_length=24307_depth=0.72x	24307	Incomplete	IncFIB	000106__CP022118			CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|47_length=2026_depth=0.69x	2026	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|53_length=1225_depth=0.87x	1225	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|39_length=10128_depth=0.72x	10128	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|25_length=62556_depth=0.62x	62556	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|23_length=67348_depth=0.65x	67348	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|49_length=1843_depth=0.83x	1843	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|54_length=1102_depth=1.23x	1102	Incomplete					CP016411	0.0158335					
assembly.fasta	472	assembly.fasta|41_length=5096_depth=0.61x	5096	Incomplete					CP016411	0.0158335					
assembly.fasta	chromosome	assembly.fasta|136_length=12_depth=2.72x	12	Incomplete											
assembly.fasta	chromosome	assembly.fasta|88_length=200_depth=0.62x	200	Incomplete											
assembly.fasta	chromosome	assembly.fasta|109_length=89_depth=2.30x	89	Incomplete											
assembly.fasta	chromosome	assembly.fasta|77_length=273_depth=0.63x	273	Incomplete											
assembly.fasta	chromosome	assembly.fasta|146_length=1_depth=4.70x	1	Incomplete											
assembly.fasta	chromosome	assembly.fasta|31_length=32433_depth=1.18x	32433	Incomplete											
assembly.fasta	chromosome	assembly.fasta|144_length=1_depth=1.49x	1	Incomplete											
assembly.fasta	chromosome	assembly.fasta|93_length=139_depth=1.15x	139	Incomplete											
assembly.fasta	chromosome	assembly.fasta|126_length=23_depth=3.29x	23	Incomplete											
assembly.fasta	chromosome	assembly.fasta|114_length=62_depth=4.79x	62	Incomplete											
assembly.fasta	chromosome	assembly.fasta|6_length=193996_depth=1.27x	193996	Incomplete											
assembly.fasta	chromosome	assembly.fasta|133_length=13_depth=2.53x	13	Incomplete											
assembly.fasta	chromosome	assembly.fasta|28_length=48848_depth=1.16x	48848	Incomplete											
