plasmid_0;66_3-,25_1-,82_2+,97_3+
# 66_3	0.9352818371607515	1	1916
# 25_1	0.0	1	58785
# 82_2	0.9351851851851852	1	864
# 97_3	1.0	0.9999993805070992	143

plasmid_1;84_2+
# 84_2	1.0	1	768

plasmid_2;84_3+
# 84_3	1.0	1	768

plasmid_3;84_5+
# 84_5	1.0	1	768

plasmid_4;84_0+
# 84_0	1.0	1	768

plasmid_5;84_1+
# 84_1	1.0	1	768

plasmid_6;84_4+
# 84_4	1.0	1	768

plasmid_7;97_4+
# 97_4	1.0	1	143

plasmid_8;97_6+
# 97_6	1.0	1	143

plasmid_9;83_10+
# 83_10	1.0	1	820

plasmid_10;49_0+
# 49_0	0.25387953708574434	1	15208

plasmid_11;12_0+
# 12_0	0.22545057345712724	1	119015

plasmid_12;12_1+
# 12_1	0.22545057345712724	1	119015

plasmid_13;42_0+
# 42_0	0.1248093543467209	1	27538

plasmid_14;46_0+
# 46_0	0.07534349238071446	1	20015

plasmid_15;14_1+
# 14_1	0.0284339417624661	1	109517

plasmid_16;14_0+
# 14_0	0.0284339417624661	1	109517

plasmid_17;10_0+
# 10_0	0.015208511078362935	1	154716

plasmid_18;47_1+
# 47_1	0.014322126471659181	1	16478

plasmid_19;47_0+
# 47_0	0.014322126471659181	1	16478

