number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
30 S30_LN:i:65217_dp:f:1.831714117431134 0.01 0.99 Plasmid 65217 1.83 1
33 S33_LN:i:49792_dp:f:1.3346783165818232 0.03 0.97 Plasmid 49792 1.33 2
35 S35_LN:i:33754_dp:f:1.8467979663254719 0.03 0.97 Plasmid 33754 1.85 1
46 S46_LN:i:15878_dp:f:5.789240420396955 0.03 0.97 Plasmid 15878 5.79 3
52 S52_LN:i:9539_dp:f:1.525344692611498 0.06 0.94 Plasmid 9539 1.53 2
53 S53_LN:i:7556_dp:f:1.4643555624229758 0.04 0.96 Plasmid 7556 1.46 2
55 S55_LN:i:5786_dp:f:1.7878049448359796 0.05 0.95 Plasmid 5786 1.79 1
57 S57_LN:i:5586_dp:f:1.2136998025671004 0.02 0.98 Plasmid 5586 1.21 2
61 S61_LN:i:3479_dp:f:1.2416025820630916 0.13 0.87 Plasmid 3479 1.24 2
66 S66_LN:i:2338_dp:f:1.1881926878599385 0.06 0.94 Plasmid 2338 1.19 2
70 S70_LN:i:1804_dp:f:1.2773813255175137 0.34 0.66 Plasmid 1804 1.28 2
72 S72_LN:i:1699_dp:f:1.3924438926602654 0.47 0.53 Plasmid 1699 1.39 2
73 S73_LN:i:1588_dp:f:1.418463048525007 0.27 0.73 Plasmid 1588 1.42 2
76 S76_LN:i:1332_dp:f:6.163275198773514 0.07 0.93 Plasmid 1332 6.16 3
79 S79_LN:i:1190_dp:f:2.052827032774057 0.16 0.84 Plasmid 1190 2.05 1
62 S62_LN:i:3232_dp:f:9.222286577121809 0.05 0.95 Plasmid 3232 9.22 Unbinned
80 S80_LN:i:1147_dp:f:5.241687012214174 0.36 0.64 Plasmid 1147 5.24 Unbinned
83 S83_LN:i:1049_dp:f:1.1283354595714046 0.37 0.63 Plasmid 1049 1.13 Unbinned
84 S84_LN:i:1040_dp:f:7.007631149118804 0.15 0.85 Plasmid 1040 7.01 Unbinned
