number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
108 S108_LN:i:7373_dp:f:0.423919319687297 0.17 0.83 Plasmid 7373 0.42 1
114 S114_LN:i:6553_dp:f:0.5112946281494223 0 1 Plasmid 6553 0.51 1
129 S129_LN:i:4319_dp:f:0.4373905010884747 0.17 0.83 Plasmid 4319 0.44 1
136 S136_LN:i:3599_dp:f:1.1278420040003694 0.19 0.81 Plasmid 3599 1.13 1
147 S147_LN:i:2867_dp:f:0.32148615276681036 0.03 0.97 Plasmid 2867 0.32 1
193 S193_LN:i:1523_dp:f:0.7988929040225258 0.14 0.86 Plasmid 1523 0.8 1
199 S199_LN:i:1350_dp:f:0.2693077556757488 0.17 0.83 Plasmid 1350 0.27 1
117 S117_LN:i:5956_dp:f:0.7567429203427894 0.48 0.52 Plasmid 5956 0.76 Unbinned
181 S181_LN:i:1837_dp:f:0.5272001041083482 0.01 0.99 Plasmid 1837 0.53 Unbinned
198 S198_LN:i:1361_dp:f:0.657220703298217 0.37 0.63 Plasmid 1361 0.66 Unbinned
203 S203_LN:i:1308_dp:f:0.4385191136039683 0.01 0.99 Plasmid 1308 0.44 Unbinned
210 S210_LN:i:1210_dp:f:0.425665206935152 0.07 0.93 Plasmid 1210 0.43 Unbinned
67 S67_LN:i:22394_dp:f:0.4408850184856319 0.19 0.81 Plasmid 22394 0.44 Unbinned
70 S70_LN:i:20751_dp:f:0.42189719178702156 0.1 0.9 Plasmid 20751 0.42 Unbinned
