number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
48 S48_LN:i:23450_dp:f:3.9654086329405107 0.14 0.86 Plasmid 23450 3.97 1
50 S50_LN:i:17903_dp:f:5.500248509193165 0.15 0.85 Plasmid 17903 5.5 1
53 S53_LN:i:16356_dp:f:4.89765387208368 0.04 0.96 Plasmid 16356 4.9 1
60 S60_LN:i:10869_dp:f:7.57333701734651 0.15 0.85 Plasmid 10869 7.57 1
62 S62_LN:i:8440_dp:f:5.635301041735638 0.03 0.97 Plasmid 8440 5.64 1
63 S63_LN:i:8031_dp:f:8.28462434134656 0.16 0.84 Plasmid 8031 8.28 2
72 S72_LN:i:5236_dp:f:5.9050132431333315 0.36 0.64 Plasmid 5236 5.91 1
74 S74_LN:i:4440_dp:f:4.376815520790293 0.12 0.88 Plasmid 4440 4.38 1
76 S76_LN:i:3795_dp:f:7.879452935670762 0.06 0.94 Plasmid 3795 7.88 2
83 S83_LN:i:2044_dp:f:7.484224997219436 0.37 0.63 Plasmid 2044 7.48 2
46 S46_LN:i:25217_dp:f:0.8584785537667389 0.48 0.52 Plasmid 25217 0.86 Unbinned
57 S57_LN:i:12171_dp:f:1.7015139154272316 0.32 0.68 Plasmid 12171 1.7 Unbinned
80 S80_LN:i:2420_dp:f:1.4198963697296112 0.07 0.93 Plasmid 2420 1.42 Unbinned
