number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
101 S101_LN:i:1323_dp:f:0.5248398821769661 0.26 0.74 Plasmid 1323 0.52 1
26 S26_LN:i:62715_dp:f:0.476142891692586 0.26 0.74 Plasmid 62715 0.48 1
29 S29_LN:i:46560_dp:f:0.613050419058777 0.22 0.78 Plasmid 46560 0.61 1
34 S34_LN:i:37469_dp:f:0.4325929519464023 0.22 0.78 Plasmid 37469 0.43 1
36 S36_LN:i:34434_dp:f:0.5447174928530535 0.22 0.78 Plasmid 34434 0.54 1
40 S40_LN:i:30715_dp:f:0.8834237493014416 0.48 0.52 Plasmid 30715 0.88 2
44 S44_LN:i:29289_dp:f:0.5749856839847562 0.33 0.67 Plasmid 29289 0.57 1
51 S51_LN:i:18632_dp:f:0.421885307783104 0.06 0.94 Plasmid 18632 0.42 2
59 S59_LN:i:12365_dp:f:0.6139194066997136 0.04 0.96 Plasmid 12365 0.61 1
64 S64_LN:i:8400_dp:f:0.4841333655970978 0.48 0.52 Plasmid 8400 0.48 2
65 S65_LN:i:8338_dp:f:0.8932496401395237 0.31 0.69 Plasmid 8338 0.89 2
69 S69_LN:i:6915_dp:f:0.44972773056885185 0.13 0.87 Plasmid 6915 0.45 2
70 S70_LN:i:5786_dp:f:0.5746948286213077 0.35 0.65 Plasmid 5786 0.57 1
72 S72_LN:i:5180_dp:f:0.4787313544133148 0 1 Plasmid 5180 0.48 2
74 S74_LN:i:4935_dp:f:16.107944453145134 0.08 0.92 Plasmid 4935 16.11 3
75 S75_LN:i:4760_dp:f:0.5083024560042387 0.3 0.7 Plasmid 4760 0.51 2
85 S85_LN:i:2706_dp:f:0.33878675536469127 0.34 0.66 Plasmid 2706 0.34 1
90 S90_LN:i:1817_dp:f:0.5295101596698477 0.43 0.57 Plasmid 1817 0.53 1
93 S93_LN:i:1654_dp:f:0.8593346503004623 0.13 0.87 Plasmid 1654 0.86 2
94 S94_LN:i:1598_dp:f:0.8256026113609009 0.25 0.75 Plasmid 1598 0.83 2
