number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
19 S19_LN:i:37784_dp:f:1.1246704365494902 0.33 0.67 Plasmid 37784 1.12 1
23 S23_LN:i:23024_dp:f:1.0887559312498851 0.09 0.91 Plasmid 23024 1.09 1
28 S28_LN:i:15401_dp:f:1.0193812088270306 0.04 0.96 Plasmid 15401 1.02 1
29 S29_LN:i:11305_dp:f:1.1717639618484361 0.04 0.96 Plasmid 11305 1.17 1
30 S30_LN:i:10188_dp:f:1.1247144488054528 0.03 0.97 Plasmid 10188 1.12 1
31 S31_LN:i:9179_dp:f:0.9923849433467102 0.01 0.99 Plasmid 9179 0.99 1
32 S32_LN:i:7735_dp:f:1.2080721295966603 0.04 0.96 Plasmid 7735 1.21 1
33 S33_LN:i:7492_dp:f:1.1950087557368438 0.22 0.78 Plasmid 7492 1.2 1
38 S38_LN:i:4167_dp:f:0.8962579149046616 0.14 0.86 Plasmid 4167 0.9 2
39 S39_LN:i:4014_dp:f:1.4276048873840304 0.29 0.71 Plasmid 4014 1.43 3
40 S40_LN:i:3868_dp:f:1.065347451752151 0.35 0.65 Plasmid 3868 1.07 1
41 S41_LN:i:3473_dp:f:1.287436023135911 0.08 0.92 Plasmid 3473 1.29 1
42 S42_LN:i:3322_dp:f:1.2114922312937664 0.15 0.85 Plasmid 3322 1.21 1
44 S44_LN:i:3128_dp:f:1.251923557271701 0.18 0.82 Plasmid 3128 1.25 1
45 S45_LN:i:2974_dp:f:1.2742529278709187 0.23 0.77 Plasmid 2974 1.27 1
47 S47_LN:i:2431_dp:f:1.3552167201679481 0.32 0.68 Plasmid 2431 1.36 1
52 S52_LN:i:1750_dp:f:1.4287165190569884 0.38 0.62 Plasmid 1750 1.43 1
53 S53_LN:i:1697_dp:f:1.0190218592841243 0.36 0.64 Plasmid 1697 1.02 1
54 S54_LN:i:1619_dp:f:1.2238874382730205 0.34 0.66 Plasmid 1619 1.22 1
58 S58_LN:i:1335_dp:f:1.1534796439873145 0.4 0.6 Plasmid 1335 1.15 1
61 S61_LN:i:1196_dp:f:1.2527001964099838 0.3 0.7 Plasmid 1196 1.25 1
