number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
26 S26_LN:i:44695_dp:f:1.3551816407056332 0.28 0.72 Plasmid 44695 1.36 1
33 S33_LN:i:29407_dp:f:1.1234812943547954 0.04 0.96 Plasmid 29407 1.12 1
34 S34_LN:i:28192_dp:f:1.2180579135930574 0.23 0.77 Plasmid 28192 1.22 1
35 S35_LN:i:27354_dp:f:1.1620645719598333 0.07 0.93 Plasmid 27354 1.16 1
39 S39_LN:i:23149_dp:f:1.1454410433347244 0.1 0.9 Plasmid 23149 1.15 1
41 S41_LN:i:18481_dp:f:1.0139693149624085 0.01 0.99 Plasmid 18481 1.01 1
42 S42_LN:i:17072_dp:f:1.0542019586186038 0.01 0.99 Plasmid 17072 1.05 1
44 S44_LN:i:13662_dp:f:1.4768494535634429 0.22 0.78 Plasmid 13662 1.48 1
47 S47_LN:i:11844_dp:f:1.4951725093396027 0.39 0.61 Plasmid 11844 1.5 1
48 S48_LN:i:10944_dp:f:1.1849203801088355 0.4 0.6 Plasmid 10944 1.18 1
49 S49_LN:i:10779_dp:f:1.1374128795282825 0.16 0.84 Plasmid 10779 1.14 1
53 S53_LN:i:5940_dp:f:1.1553779575879988 0.06 0.94 Plasmid 5940 1.16 1
54 S54_LN:i:5541_dp:f:0.8312992736706745 0.24 0.76 Plasmid 5541 0.83 1
58 S58_LN:i:4186_dp:f:0.9169895309011648 0.19 0.81 Plasmid 4186 0.92 1
59 S59_LN:i:3823_dp:f:0.8502889043097432 0.26 0.74 Plasmid 3823 0.85 1
60 S60_LN:i:3611_dp:f:1.6683373279249476 0.06 0.94 Plasmid 3611 1.67 1
61 S61_LN:i:3406_dp:f:1.141894664255087 0.02 0.98 Plasmid 3406 1.14 1
68 S68_LN:i:1733_dp:f:1.2732600059566783 0.49 0.51 Plasmid 1733 1.27 1
72 S72_LN:i:1506_dp:f:0.9517306337161394 0.01 0.99 Plasmid 1506 0.95 1
79 S79_LN:i:1309_dp:f:1.242892421528637 0 1 Plasmid 1309 1.24 1
88 S88_LN:i:1103_dp:f:0.9982699529258955 0.03 0.97 Plasmid 1103 1 1
