number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
116 S116_LN:i:4319_dp:f:0.5411780206518936 0.2 0.8 Plasmid 4319 0.54 1
134 S134_LN:i:3063_dp:f:0.4961739751120325 0.03 0.97 Plasmid 3063 0.5 1
145 S145_LN:i:2591_dp:f:0.5727226342748636 0.01 0.99 Plasmid 2591 0.57 1
62 S62_LN:i:21078_dp:f:0.5018937383883638 0.16 0.84 Plasmid 21078 0.5 1
92 S92_LN:i:9244_dp:f:0.4178974000226329 0.17 0.83 Plasmid 9244 0.42 1
98 S98_LN:i:7040_dp:f:0.5041977527429036 0 1 Plasmid 7040 0.5 1
104 S104_LN:i:6482_dp:f:0.4887914011358237 0.22 0.78 Plasmid 6482 0.49 Unbinned
161 S161_LN:i:2061_dp:f:0.4948610689322649 0.15 0.85 Plasmid 2061 0.49 Unbinned
167 S167_LN:i:1823_dp:f:0.26248436108490625 0.03 0.97 Plasmid 1823 0.26 Unbinned
176 S176_LN:i:1577_dp:f:0.4095777261637678 0.17 0.83 Plasmid 1577 0.41 Unbinned
177 S177_LN:i:1574_dp:f:0.4947917177838665 0.08 0.92 Plasmid 1574 0.49 Unbinned
70 S70_LN:i:16246_dp:f:0.4966408213237896 0.21 0.79 Plasmid 16246 0.5 Unbinned
