number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
23 S23_LN:i:60822_dp:f:2.895725708260427 0.01 0.99 Plasmid 60822 2.9 1
32 S32_LN:i:43621_dp:f:2.392132341530924 0.03 0.97 Plasmid 43621 2.39 4
33 S33_LN:i:37957_dp:f:2.1224772642972756 0.03 0.97 Plasmid 37957 2.12 3
48 S48_LN:i:16059_dp:f:1.878287412340411 0.01 0.99 Plasmid 16059 1.88 2
56 S56_LN:i:5330_dp:f:1.801832128797136 0.03 0.97 Plasmid 5330 1.8 2
57 S57_LN:i:4327_dp:f:1.8265026823537631 0.05 0.95 Plasmid 4327 1.83 2
63 S63_LN:i:2479_dp:f:2.1057432204112407 0.12 0.88 Plasmid 2479 2.11 3
64 S64_LN:i:2161_dp:f:2.7462505532433923 0.08 0.92 Plasmid 2161 2.75 1
67 S67_LN:i:1908_dp:f:2.0511734376589095 0.12 0.88 Plasmid 1908 2.05 3
77 S77_LN:i:1186_dp:f:1.761455100657268 0.12 0.88 Plasmid 1186 1.76 2
58 S58_LN:i:4299_dp:f:1.5062926771375753 0.04 0.96 Plasmid 4299 1.51 Unbinned
60 S60_LN:i:3140_dp:f:3.122238136440487 0.05 0.95 Plasmid 3140 3.12 Unbinned
62 S62_LN:i:2557_dp:f:1.5520561835563866 0.06 0.94 Plasmid 2557 1.55 Unbinned
72 S72_LN:i:1481_dp:f:2.1389242012206986 0.37 0.63 Plasmid 1481 2.14 Unbinned
78 S78_LN:i:1050_dp:f:0.9982815773492688 0.38 0.62 Plasmid 1050 1 Unbinned
79 S79_LN:i:1050_dp:f:1.1779103720152009 0.38 0.62 Plasmid 1050 1.18 Unbinned
