number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
101 S101_LN:i:6614_dp:f:1.5855638626604167 0.06 0.94 Plasmid 6614 1.59 4
103 S103_LN:i:5796_dp:f:1.2418486960166168 0 1 Plasmid 5796 1.24 2
107 S107_LN:i:5386_dp:f:0.593114659207337 0.17 0.83 Plasmid 5386 0.59 7
114 S114_LN:i:4696_dp:f:1.4079844640481023 0 1 Plasmid 4696 1.41 5
115 S115_LN:i:4651_dp:f:2.5391024367735118 0.01 0.99 Plasmid 4651 2.54 3
116 S116_LN:i:4578_dp:f:1.4041260502477886 0.03 0.97 Plasmid 4578 1.4 5
118 S118_LN:i:4475_dp:f:0.8110263335906692 0.01 0.99 Plasmid 4475 0.81 2
120 S120_LN:i:4305_dp:f:130.794861949842 0.01 0.99 Plasmid 4305 130.79 8
121 S121_LN:i:4299_dp:f:0.9310070026777955 0.07 0.93 Plasmid 4299 0.93 2
124 S124_LN:i:4223_dp:f:1.3133133471352774 0 1 Plasmid 4223 1.31 5
127 S127_LN:i:4036_dp:f:0.8607734003362432 0.03 0.97 Plasmid 4036 0.86 6
128 S128_LN:i:3914_dp:f:0.5758212736969209 0.07 0.93 Plasmid 3914 0.58 4
129 S129_LN:i:3805_dp:f:1.0125268683989401 0.02 0.98 Plasmid 3805 1.01 5
133 S133_LN:i:3678_dp:f:0.5829505717021919 0 1 Plasmid 3678 0.58 1
136 S136_LN:i:3333_dp:f:1.6977026111066742 0.01 0.99 Plasmid 3333 1.7 5
137 S137_LN:i:3272_dp:f:1.2307402470015583 0.07 0.93 Plasmid 3272 1.23 4
139 S139_LN:i:3217_dp:f:1.8767077516824107 0.05 0.95 Plasmid 3217 1.88 3
145 S145_LN:i:2790_dp:f:0.5945677935882413 0.01 0.99 Plasmid 2790 0.59 4
148 S148_LN:i:2696_dp:f:1.4107156874590019 0.49 0.51 Plasmid 2696 1.41 2
160 S160_LN:i:2006_dp:f:0.9977041128018833 0.07 0.93 Plasmid 2006 1 2
161 S161_LN:i:1979_dp:f:347.72446179584995 0.01 0.99 Plasmid 1979 347.72 9
162 S162_LN:i:1959_dp:f:1.8061127186075734 0.06 0.94 Plasmid 1959 1.81 3
163 S163_LN:i:1939_dp:f:0.6486599759319213 0.05 0.95 Plasmid 1939 0.65 2
165 S165_LN:i:1830_dp:f:1.7610929201214185 0.06 0.94 Plasmid 1830 1.76 3
166 S166_LN:i:1768_dp:f:0.8951246782447367 0.12 0.88 Plasmid 1768 0.9 5
184 S184_LN:i:1364_dp:f:1.2319102040872048 0.43 0.57 Plasmid 1364 1.23 2
186 S186_LN:i:1303_dp:f:2.060593060393403 0.09 0.91 Plasmid 1303 2.06 3
197 S197_LN:i:1113_dp:f:0.9922710477941804 0.04 0.96 Plasmid 1113 0.99 5
198 S198_LN:i:1076_dp:f:1.199867441268359 0.3 0.7 Plasmid 1076 1.2 5
34 S34_LN:i:25791_dp:f:0.7097250464330984 0.05 0.95 Plasmid 25791 0.71 4
45 S45_LN:i:20478_dp:f:1.0378335254415114 0.11 0.89 Plasmid 20478 1.04 4
69 S69_LN:i:12245_dp:f:1.3566846938350632 0.04 0.96 Plasmid 12245 1.36 6
77 S77_LN:i:10814_dp:f:0.9370363089423902 0.03 0.97 Plasmid 10814 0.94 1
78 S78_LN:i:10620_dp:f:1.106971210455075 0.06 0.94 Plasmid 10620 1.11 2
82 S82_LN:i:9612_dp:f:2.8696545623206924 0.02 0.98 Plasmid 9612 2.87 3
84 S84_LN:i:8865_dp:f:1.1823183617150665 0.06 0.94 Plasmid 8865 1.18 4
88 S88_LN:i:8453_dp:f:1.2538282077948726 0.27 0.73 Plasmid 8453 1.25 2
90 S90_LN:i:8297_dp:f:0.8870911531657086 0.22 0.78 Plasmid 8297 0.89 1
92 S92_LN:i:7591_dp:f:1.153185539221207 0.05 0.95 Plasmid 7591 1.15 2
94 S94_LN:i:7187_dp:f:2.3556004016352095 0.04 0.96 Plasmid 7187 2.36 3
95 S95_LN:i:7181_dp:f:1.975727815250491 0.01 0.99 Plasmid 7181 1.98 3
98 S98_LN:i:6713_dp:f:0.7930339772192836 0.02 0.98 Plasmid 6713 0.79 1
99 S99_LN:i:6646_dp:f:0.728529342100503 0.03 0.97 Plasmid 6646 0.73 4
134 S134_LN:i:3574_dp:f:0.8623163921636083 0 1 Plasmid 3574 0.86 Unbinned
135 S135_LN:i:3464_dp:f:0.9856436605935959 0.43 0.57 Plasmid 3464 0.99 Unbinned
142 S142_LN:i:3036_dp:f:119.33012721406186 0.01 0.99 Plasmid 3036 119.33 Unbinned
154 S154_LN:i:2331_dp:f:1.5660315861109573 0.3 0.7 Plasmid 2331 1.57 Unbinned
157 S157_LN:i:2088_dp:f:1.5262533864933434 0.06 0.94 Plasmid 2088 1.53 Unbinned
158 S158_LN:i:2059_dp:f:2.0140463109150715 0.01 0.99 Plasmid 2059 2.01 Unbinned
169 S169_LN:i:1663_dp:f:0.887118936308328 0.07 0.93 Plasmid 1663 0.89 Unbinned
171 S171_LN:i:1514_dp:f:0.8810537941353341 0.44 0.56 Plasmid 1514 0.88 Unbinned
182 S182_LN:i:1389_dp:f:0.7505738864759376 0.23 0.77 Plasmid 1389 0.75 Unbinned
193 S193_LN:i:1220_dp:f:3.115920972607031 0.13 0.87 Plasmid 1220 3.12 Unbinned
195 S195_LN:i:1190_dp:f:0.9859919140538874 0.05 0.95 Plasmid 1190 0.99 Unbinned
196 S196_LN:i:1118_dp:f:0.9077037646816303 0.34 0.66 Plasmid 1118 0.91 Unbinned
96 S96_LN:i:6870_dp:f:0.7621362569973876 0.36 0.64 Plasmid 6870 0.76 Unbinned
