number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
36 S36_LN:i:48511_dp:f:1.2198146476376144 0.46 0.54 Plasmid 48511 1.22 2
37 S37_LN:i:46787_dp:f:1.2165658731229234 0.43 0.57 Plasmid 46787 1.22 1
42 S42_LN:i:35866_dp:f:1.2966582108881608 0.06 0.94 Plasmid 35866 1.3 1
45 S45_LN:i:28587_dp:f:1.105777946800991 0.11 0.89 Plasmid 28587 1.11 1
50 S50_LN:i:16536_dp:f:1.3725225824941127 0.47 0.53 Plasmid 16536 1.37 1
57 S57_LN:i:5144_dp:f:1.0689589437241283 0.28 0.72 Plasmid 5144 1.07 1
64 S64_LN:i:4127_dp:f:0.8754696098336543 0.11 0.89 Plasmid 4127 0.88 1
65 S65_LN:i:3702_dp:f:1.0292607119741417 0.28 0.72 Plasmid 3702 1.03 1
75 S75_LN:i:2186_dp:f:1.2188260633452348 0.07 0.93 Plasmid 2186 1.22 1
76 S76_LN:i:1728_dp:f:0.9932577995424157 0.14 0.86 Plasmid 1728 0.99 1
88 S88_LN:i:1398_dp:f:1.2215418015757438 0.03 0.97 Plasmid 1398 1.22 1
58 S58_LN:i:4696_dp:f:1.284064000027585 0.44 0.56 Plasmid 4696 1.28 Unbinned
61 S61_LN:i:4337_dp:f:2.3906265186839173 0.01 0.99 Plasmid 4337 2.39 Unbinned
