number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
15 S15_LN:i:112876_dp:f:1.138871947627158 0.03 0.97 Plasmid 112876 1.14 1
27 S27_LN:i:23611_dp:f:1.4357689928356718 0.01 0.99 Plasmid 23611 1.44 1
28 S28_LN:i:16777_dp:f:1.337577061747243 0.04 0.96 Plasmid 16777 1.34 1
29 S29_LN:i:12178_dp:f:1.4410684082365453 0.04 0.96 Plasmid 12178 1.44 1
30 S30_LN:i:10175_dp:f:1.404724698600342 0.01 0.99 Plasmid 10175 1.4 1
32 S32_LN:i:4649_dp:f:1.2638558078291757 0.08 0.92 Plasmid 4649 1.26 1
33 S33_LN:i:4415_dp:f:1.4467067159918368 0.04 0.96 Plasmid 4415 1.45 1
35 S35_LN:i:4167_dp:f:2.386274139950338 0.05 0.95 Plasmid 4167 2.39 2
41 S41_LN:i:2006_dp:f:1.5855868938130069 0.27 0.73 Plasmid 2006 1.59 1
48 S48_LN:i:1176_dp:f:1.6209677068022983 0.24 0.76 Plasmid 1176 1.62 1
