number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
21 S21_LN:i:46582_dp:f:0.8311006256455808 0.13 0.87 Plasmid 46582 0.83 1
22 S22_LN:i:42560_dp:f:1.4064756653227362 0.22 0.78 Plasmid 42560 1.41 1
24 S24_LN:i:32725_dp:f:2.7003417775431893 0.44 0.56 Plasmid 32725 2.7 2
30 S30_LN:i:18072_dp:f:0.8763738812122174 0.12 0.88 Plasmid 18072 0.88 1
31 S31_LN:i:16559_dp:f:28.306628092973426 0.17 0.83 Plasmid 16559 28.31 3
38 S38_LN:i:11012_dp:f:0.8349630468124588 0.43 0.57 Plasmid 11012 0.83 1
39 S39_LN:i:10543_dp:f:0.7130557639382317 0.12 0.88 Plasmid 10543 0.71 1
47 S47_LN:i:6097_dp:f:0.7625258724331989 0.16 0.84 Plasmid 6097 0.76 1
48 S48_LN:i:5167_dp:f:53.39976815004039 0.02 0.98 Plasmid 5167 53.4 4
49 S49_LN:i:4174_dp:f:1.0918402415148993 0.04 0.96 Plasmid 4174 1.09 1
54 S54_LN:i:2595_dp:f:1.1894638601155836 0.09 0.91 Plasmid 2595 1.19 1
