number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
104 S104_LN:i:2407_dp:f:1.33901621631363 0.44 0.56 Plasmid 2407 1.34 1
114 S114_LN:i:1391_dp:f:1.1846700561474506 0.34 0.66 Plasmid 1391 1.18 1
38 S38_LN:i:46788_dp:f:1.5492704865811036 0.26 0.74 Plasmid 46788 1.55 1
47 S47_LN:i:35355_dp:f:1.4778190384983176 0.19 0.81 Plasmid 35355 1.48 1
48 S48_LN:i:32802_dp:f:1.2867703583622794 0.19 0.81 Plasmid 32802 1.29 1
60 S60_LN:i:18544_dp:f:1.4270894625676271 0.31 0.69 Plasmid 18544 1.43 1
68 S68_LN:i:13128_dp:f:1.6904825254291755 0.06 0.94 Plasmid 13128 1.69 1
70 S70_LN:i:11254_dp:f:1.6692651100408857 0.05 0.95 Plasmid 11254 1.67 1
73 S73_LN:i:10246_dp:f:1.5223039170429433 0.06 0.94 Plasmid 10246 1.52 1
75 S75_LN:i:9237_dp:f:1.4881747460697528 0.15 0.85 Plasmid 9237 1.49 1
76 S76_LN:i:9106_dp:f:1.3215750825521515 0.04 0.96 Plasmid 9106 1.32 1
80 S80_LN:i:7436_dp:f:1.567093713226874 0.02 0.98 Plasmid 7436 1.57 1
82 S82_LN:i:6813_dp:f:1.58967248161104 0.06 0.94 Plasmid 6813 1.59 1
83 S83_LN:i:6692_dp:f:1.4254691363340986 0.5 0.5 Plasmid 6692 1.43 1
90 S90_LN:i:4249_dp:f:1.6011617461080654 0.19 0.81 Plasmid 4249 1.6 1
91 S91_LN:i:4233_dp:f:1.969910638107876 0.16 0.84 Plasmid 4233 1.97 1
95 S95_LN:i:3479_dp:f:1.5869247726214024 0.13 0.87 Plasmid 3479 1.59 1
