number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
18 S18_LN:i:54155_dp:f:1.0514645940835776 0.01 0.99 Plasmid 54155 1.05 1
31 S31_LN:i:21202_dp:f:1.194722937126809 0.15 0.85 Plasmid 21202 1.19 1
33 S33_LN:i:18202_dp:f:1.1628830074648842 0.4 0.6 Plasmid 18202 1.16 1
46 S46_LN:i:8487_dp:f:1.2210058174026983 0.03 0.97 Plasmid 8487 1.22 1
47 S47_LN:i:8177_dp:f:0.9996798934685464 0.04 0.96 Plasmid 8177 1 1
50 S50_LN:i:4993_dp:f:1.1698997426343487 0.02 0.98 Plasmid 4993 1.17 1
52 S52_LN:i:4014_dp:f:0.9783821389091624 0.03 0.97 Plasmid 4014 0.98 1
54 S54_LN:i:3077_dp:f:1.1553028848000615 0.08 0.92 Plasmid 3077 1.16 1
57 S57_LN:i:2626_dp:f:0.9929149754371588 0.03 0.97 Plasmid 2626 0.99 1
60 S60_LN:i:1589_dp:f:1.0577429501871556 0 1 Plasmid 1589 1.06 1
