number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
46 S46_LN:i:19945_dp:f:3.0842681383549326 0.16 0.84 Plasmid 19945 3.08 1
51 S51_LN:i:17903_dp:f:4.718194211367206 0.37 0.63 Plasmid 17903 4.72 1
53 S53_LN:i:16356_dp:f:3.916303649685844 0.12 0.88 Plasmid 16356 3.92 1
66 S66_LN:i:8440_dp:f:4.517063423080611 0.03 0.97 Plasmid 8440 4.52 1
68 S68_LN:i:8031_dp:f:6.639190073035086 0.16 0.84 Plasmid 8031 6.64 2
75 S75_LN:i:5236_dp:f:4.641002831648981 0.28 0.72 Plasmid 5236 4.64 1
77 S77_LN:i:4440_dp:f:3.3894815235666473 0.11 0.89 Plasmid 4440 3.39 1
80 S80_LN:i:3795_dp:f:6.739943577280923 0.15 0.85 Plasmid 3795 6.74 2
85 S85_LN:i:2734_dp:f:4.481662541915425 0.03 0.97 Plasmid 2734 4.48 1
91 S91_LN:i:2044_dp:f:6.26657511903337 0.37 0.63 Plasmid 2044 6.27 2
56 S56_LN:i:16083_dp:f:0.36136540113878396 0.48 0.52 Plasmid 16083 0.36 Unbinned
58 S58_LN:i:12788_dp:f:6.088277933145332 0.09 0.91 Plasmid 12788 6.09 Unbinned
59 S59_LN:i:12235_dp:f:4.241845130295176 0.34 0.66 Plasmid 12235 4.24 Unbinned
