number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
21 S21_LN:i:35423_dp:f:0.6792340965429248 0.01 0.99 Plasmid 35423 0.68 1
24 S24_LN:i:32590_dp:f:0.6720201396407034 0.08 0.92 Plasmid 32590 0.67 1
33 S33_LN:i:19326_dp:f:0.6020351948994989 0.08 0.92 Plasmid 19326 0.6 1
42 S42_LN:i:12591_dp:f:0.6178469706761143 0.01 0.99 Plasmid 12591 0.62 1
44 S44_LN:i:10667_dp:f:0.6415186921845468 0.06 0.94 Plasmid 10667 0.64 1
46 S46_LN:i:10231_dp:f:8.852043437283738 0.02 0.98 Plasmid 10231 8.85 4
47 S47_LN:i:9923_dp:f:0.556571989958421 0.09 0.91 Plasmid 9923 0.56 1
49 S49_LN:i:9640_dp:f:4.528145235138134 0.04 0.96 Plasmid 9640 4.53 5
50 S50_LN:i:9325_dp:f:17.708594120701992 0.04 0.96 Plasmid 9325 17.71 6
54 S54_LN:i:7524_dp:f:21.730717693223816 0.11 0.89 Plasmid 7524 21.73 7
55 S55_LN:i:7107_dp:f:0.7661953105624814 0.11 0.89 Plasmid 7107 0.77 1
58 S58_LN:i:6394_dp:f:0.5993022151793372 0.39 0.61 Plasmid 6394 0.6 1
59 S59_LN:i:6233_dp:f:0.5728920325622089 0.02 0.98 Plasmid 6233 0.57 1
60 S60_LN:i:6177_dp:f:0.7432338958022958 0.02 0.98 Plasmid 6177 0.74 1
61 S61_LN:i:6114_dp:f:0.49352623652410776 0.03 0.97 Plasmid 6114 0.49 1
63 S63_LN:i:5275_dp:f:110.86088201044643 0.02 0.98 Plasmid 5275 110.86 11
64 S64_LN:i:5052_dp:f:0.48678688962302497 0.34 0.66 Plasmid 5052 0.49 1
67 S67_LN:i:4670_dp:f:0.7107919120366257 0.02 0.98 Plasmid 4670 0.71 1
68 S68_LN:i:4461_dp:f:29.21970785742023 0 1 Plasmid 4461 29.22 8
69 S69_LN:i:4416_dp:f:16.847746490380082 0.01 0.99 Plasmid 4416 16.85 9
70 S70_LN:i:4147_dp:f:72.02697955677573 0.02 0.98 Plasmid 4147 72.03 2
73 S73_LN:i:2947_dp:f:111.25305690948107 0.03 0.97 Plasmid 2947 111.25 11
74 S74_LN:i:2608_dp:f:0.5649289961230748 0.01 0.99 Plasmid 2608 0.56 1
77 S77_LN:i:2064_dp:f:4.227663138709663 0.04 0.96 Plasmid 2064 4.23 5
78 S78_LN:i:2061_dp:f:0.4549867155503663 0.04 0.96 Plasmid 2061 0.45 1
80 S80_LN:i:1989_dp:f:9.589675557018703 0.01 0.99 Plasmid 1989 9.59 10
84 S84_LN:i:1747_dp:f:21.888474369595656 0.04 0.96 Plasmid 1747 21.89 7
93 S93_LN:i:1134_dp:f:0.5317614795298966 0.21 0.79 Plasmid 1134 0.53 1
57 S57_LN:i:6517_dp:f:24.18343016037 0.02 0.98 Plasmid 6517 24.18 Unbinned
79 S79_LN:i:2038_dp:f:130.40636282017195 0.21 0.79 Plasmid 2038 130.41 Unbinned
81 S81_LN:i:1954_dp:f:124.95281693835135 0 1 Plasmid 1954 124.95 Unbinned
