number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
109 S109_LN:i:1021_dp:f:1.1274767200953626 0.01 0.99 Plasmid 1021 1.13 1
41 S41_LN:i:39033_dp:f:1.2915330499752864 0.17 0.83 Plasmid 39033 1.29 1
49 S49_LN:i:21868_dp:f:1.232449419695819 0.05 0.95 Plasmid 21868 1.23 1
52 S52_LN:i:15523_dp:f:1.2782802885658662 0.29 0.71 Plasmid 15523 1.28 1
53 S53_LN:i:15107_dp:f:1.253339744209387 0.17 0.83 Plasmid 15107 1.25 1
54 S54_LN:i:13572_dp:f:1.1967728849413328 0.24 0.76 Plasmid 13572 1.2 1
55 S55_LN:i:12997_dp:f:1.2545249630588635 0.2 0.8 Plasmid 12997 1.25 1
57 S57_LN:i:10980_dp:f:1.3861555334282865 0.04 0.96 Plasmid 10980 1.39 1
60 S60_LN:i:10530_dp:f:1.3491515628630548 0.15 0.85 Plasmid 10530 1.35 1
65 S65_LN:i:9109_dp:f:1.2480728429176513 0.22 0.78 Plasmid 9109 1.25 1
66 S66_LN:i:6872_dp:f:1.185555534412161 0.04 0.96 Plasmid 6872 1.19 1
68 S68_LN:i:6065_dp:f:1.1200110712409928 0.36 0.64 Plasmid 6065 1.12 1
82 S82_LN:i:2186_dp:f:1.483772966216729 0 1 Plasmid 2186 1.48 1
87 S87_LN:i:1799_dp:f:0.854064469190097 0.48 0.52 Plasmid 1799 0.85 1
