number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
16 S16_LN:i:103762_dp:f:1.8039060094728785 0.01 0.99 Plasmid 103762 1.8 1
25 S25_LN:i:46051_dp:f:1.5952189096490579 0.04 0.96 Plasmid 46051 1.6 2
27 S27_LN:i:36707_dp:f:2.9839893940608957 0.01 0.99 Plasmid 36707 2.98 3
31 S31_LN:i:30510_dp:f:1.578158837675351 0.31 0.69 Plasmid 30510 1.58 2
34 S34_LN:i:28234_dp:f:1.6033529608483776 0.03 0.97 Plasmid 28234 1.6 2
36 S36_LN:i:25541_dp:f:1.5861334756864773 0.06 0.94 Plasmid 25541 1.59 2
37 S37_LN:i:24412_dp:f:1.4335031160787672 0.01 0.99 Plasmid 24412 1.43 2
42 S42_LN:i:15827_dp:f:1.4517231251605216 0.25 0.75 Plasmid 15827 1.45 2
43 S43_LN:i:12201_dp:f:1.6296592183968335 0.04 0.96 Plasmid 12201 1.63 2
44 S44_LN:i:11286_dp:f:1.5421666181231375 0.06 0.94 Plasmid 11286 1.54 2
45 S45_LN:i:10270_dp:f:1.6298820414430832 0.18 0.82 Plasmid 10270 1.63 2
46 S46_LN:i:8833_dp:f:1.634227285396689 0.01 0.99 Plasmid 8833 1.63 2
47 S47_LN:i:8661_dp:f:1.6723008439115408 0.04 0.96 Plasmid 8661 1.67 2
48 S48_LN:i:6894_dp:f:1.6914857293817636 0.04 0.96 Plasmid 6894 1.69 2
50 S50_LN:i:6287_dp:f:1.5763638213947178 0.32 0.68 Plasmid 6287 1.58 2
51 S51_LN:i:5896_dp:f:1.7417873925044463 0.05 0.95 Plasmid 5896 1.74 2
54 S54_LN:i:3760_dp:f:1.6822105269482943 0.05 0.95 Plasmid 3760 1.68 2
55 S55_LN:i:3247_dp:f:1.6938205017173824 0.07 0.93 Plasmid 3247 1.69 2
58 S58_LN:i:2422_dp:f:1.6744168178411776 0.19 0.81 Plasmid 2422 1.67 2
61 S61_LN:i:2231_dp:f:1.7281278344472821 0.16 0.84 Plasmid 2231 1.73 1
63 S63_LN:i:1741_dp:f:1.5919707617680605 0.08 0.92 Plasmid 1741 1.59 2
66 S66_LN:i:1587_dp:f:1.651897850824849 0.08 0.92 Plasmid 1587 1.65 2
69 S69_LN:i:1368_dp:f:1.7651000581101914 0.2 0.8 Plasmid 1368 1.77 2
52 S52_LN:i:5305_dp:f:7.9973881885496185 0.05 0.95 Plasmid 5305 8 Unbinned
60 S60_LN:i:2242_dp:f:1.0998220128908953 0.48 0.52 Plasmid 2242 1.1 Unbinned
72 S72_LN:i:1149_dp:f:1.0960315982675453 0.39 0.61 Plasmid 1149 1.1 Unbinned
