number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
15 S15_LN:i:108986_dp:f:5.432500977069054 0.25 0.75 Plasmid 108986 5.43 2
28 S28_LN:i:52908_dp:f:8.122197873195827 0.14 0.86 Plasmid 52908 8.12 1
40 S40_LN:i:32311_dp:f:11.343026738871046 0.2 0.8 Plasmid 32311 11.34 1
43 S43_LN:i:24397_dp:f:8.377751594872452 0.35 0.65 Plasmid 24397 8.38 1
48 S48_LN:i:15523_dp:f:8.312712092036822 0.3 0.7 Plasmid 15523 8.31 1
51 S51_LN:i:14633_dp:f:10.043264392005664 0.4 0.6 Plasmid 14633 10.04 1
52 S52_LN:i:12725_dp:f:6.656374322372585 0.31 0.69 Plasmid 12725 6.66 1
56 S56_LN:i:10309_dp:f:8.084869131656065 0.04 0.96 Plasmid 10309 8.08 1
65 S65_LN:i:6078_dp:f:9.853284065448145 0 1 Plasmid 6078 9.85 3
72 S72_LN:i:4877_dp:f:7.594381366972247 0.35 0.65 Plasmid 4877 7.59 1
74 S74_LN:i:4603_dp:f:9.182894592466443 0.4 0.6 Plasmid 4603 9.18 1
77 S77_LN:i:4073_dp:f:7.364710627368114 0.05 0.95 Plasmid 4073 7.36 4
83 S83_LN:i:2846_dp:f:8.98634026973473 0.03 0.97 Plasmid 2846 8.99 1
