number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
42 S42_LN:i:33820_dp:f:1.3677774233321445 0.22 0.78 Plasmid 33820 1.37 1
48 S48_LN:i:21965_dp:f:1.3692222666723814 0.1 0.9 Plasmid 21965 1.37 1
49 S49_LN:i:16657_dp:f:1.338424398730257 0.14 0.86 Plasmid 16657 1.34 1
50 S50_LN:i:15523_dp:f:1.3725435808286506 0.29 0.71 Plasmid 15523 1.37 1
51 S51_LN:i:13572_dp:f:1.319210470288897 0.12 0.88 Plasmid 13572 1.32 1
54 S54_LN:i:10980_dp:f:1.4250504231519667 0.26 0.74 Plasmid 10980 1.43 1
60 S60_LN:i:9109_dp:f:1.3812043083913017 0.23 0.77 Plasmid 9109 1.38 1
63 S63_LN:i:5363_dp:f:1.4228413682676229 0.44 0.56 Plasmid 5363 1.42 1
66 S66_LN:i:4528_dp:f:1.4990038499231364 0.25 0.75 Plasmid 4528 1.5 1
68 S68_LN:i:3998_dp:f:1.4526474978806811 0.23 0.77 Plasmid 3998 1.45 1
74 S74_LN:i:2186_dp:f:1.5430386381627632 0 1 Plasmid 2186 1.54 1
84 S84_LN:i:1549_dp:f:8.252039421171771 0.39 0.61 Plasmid 1549 8.25 2
46 S46_LN:i:25357_dp:f:0.6203440011296061 0.43 0.57 Plasmid 25357 0.62 Unbinned
61 S61_LN:i:8009_dp:f:0.40609041220111625 0.29 0.71 Plasmid 8009 0.41 Unbinned
