number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
100 S100_LN:i:2218_dp:f:0.3546532270942219 0.39 0.61 Plasmid 2218 0.35 1
102 S102_LN:i:1959_dp:f:1.1605399341467588 0.31 0.69 Plasmid 1959 1.16 3
28 S28_LN:i:72631_dp:f:0.45264551998550345 0.41 0.59 Plasmid 72631 0.45 1
56 S56_LN:i:17881_dp:f:0.29012783571086204 0.25 0.75 Plasmid 17881 0.29 1
60 S60_LN:i:14142_dp:f:0.6424281929501814 0.32 0.68 Plasmid 14142 0.64 2
65 S65_LN:i:9687_dp:f:0.3993202797551644 0.17 0.83 Plasmid 9687 0.4 1
71 S71_LN:i:7575_dp:f:0.6309156615779545 0.35 0.65 Plasmid 7575 0.63 2
75 S75_LN:i:7097_dp:f:0.3387824636619741 0.06 0.94 Plasmid 7097 0.34 1
87 S87_LN:i:4091_dp:f:8.372034166122859 0.48 0.52 Plasmid 4091 8.37 4
88 S88_LN:i:4072_dp:f:4.95969318039097 0.21 0.79 Plasmid 4072 4.96 5
92 S92_LN:i:3446_dp:f:0.4201851626943749 0.33 0.67 Plasmid 3446 0.42 1
99 S99_LN:i:2417_dp:f:0.6051558558565182 0.26 0.74 Plasmid 2417 0.61 2
105 S105_LN:i:1662_dp:f:0.3041683713945798 0.04 0.96 Plasmid 1662 0.3 Unbinned
64 S64_LN:i:10219_dp:f:0.3136638800171445 0.02 0.98 Plasmid 10219 0.31 Unbinned
82 S82_LN:i:5071_dp:f:5.868461656873212 0.3 0.7 Plasmid 5071 5.87 Unbinned
89 S89_LN:i:4068_dp:f:7.030693474291522 0.36 0.64 Plasmid 4068 7.03 Unbinned
