number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
18 S18_LN:i:110518_dp:f:1.0316799993221804 0 1 Plasmid 110518 1.03 3
26 S26_LN:i:58645_dp:f:1.0374624524036447 0.01 0.99 Plasmid 58645 1.04 3
31 S31_LN:i:35356_dp:f:0.9035856061018306 0.07 0.93 Plasmid 35356 0.9 2
36 S36_LN:i:26722_dp:f:0.9078844703534802 0.01 0.99 Plasmid 26722 0.91 2
38 S38_LN:i:21051_dp:f:0.8838057331895608 0.01 0.99 Plasmid 21051 0.88 2
39 S39_LN:i:20382_dp:f:1.1097442798899164 0.02 0.98 Plasmid 20382 1.11 3
43 S43_LN:i:14800_dp:f:1.0494089236714295 0.03 0.97 Plasmid 14800 1.05 3
44 S44_LN:i:14119_dp:f:1.0289688263624621 0.09 0.91 Plasmid 14119 1.03 3
45 S45_LN:i:12903_dp:f:1.0807474072199057 0.03 0.97 Plasmid 12903 1.08 3
46 S46_LN:i:10896_dp:f:0.8231075333896981 0.01 0.99 Plasmid 10896 0.82 2
47 S47_LN:i:9238_dp:f:1.0506531015978482 0.05 0.95 Plasmid 9238 1.05 3
48 S48_LN:i:5934_dp:f:3.469520749699281 0.18 0.82 Plasmid 5934 3.47 4
49 S49_LN:i:5732_dp:f:0.8338028937399985 0.04 0.96 Plasmid 5732 0.83 2
50 S50_LN:i:5587_dp:f:0.8460220506399188 0.02 0.98 Plasmid 5587 0.85 2
51 S51_LN:i:5115_dp:f:0.8793322278330513 0.14 0.86 Plasmid 5115 0.88 1
55 S55_LN:i:3310_dp:f:1.1290194029631846 0.13 0.87 Plasmid 3310 1.13 3
58 S58_LN:i:2450_dp:f:0.7766972417938127 0.1 0.9 Plasmid 2450 0.78 1
59 S59_LN:i:2357_dp:f:0.9509199676694913 0.05 0.95 Plasmid 2357 0.95 2
61 S61_LN:i:2095_dp:f:3.6828159663565003 0.35 0.65 Plasmid 2095 3.68 5
62 S62_LN:i:2084_dp:f:0.671424851899473 0.07 0.93 Plasmid 2084 0.67 1
63 S63_LN:i:1961_dp:f:1.2510765512770932 0.07 0.93 Plasmid 1961 1.25 3
64 S64_LN:i:1904_dp:f:0.7795543016077893 0.11 0.89 Plasmid 1904 0.78 1
67 S67_LN:i:1755_dp:f:1.0970208664696175 0.06 0.94 Plasmid 1755 1.1 3
69 S69_LN:i:1699_dp:f:1.037232732641834 0.47 0.53 Plasmid 1699 1.04 2
70 S70_LN:i:1671_dp:f:1.044371845350559 0.1 0.9 Plasmid 1671 1.04 3
72 S72_LN:i:1557_dp:f:0.8552161753420434 0.36 0.64 Plasmid 1557 0.86 1
73 S73_LN:i:1506_dp:f:0.8176257426576498 0.07 0.93 Plasmid 1506 0.82 1
75 S75_LN:i:1280_dp:f:0.7356044814435522 0.11 0.89 Plasmid 1280 0.74 1
77 S77_LN:i:1234_dp:f:0.7079619233107373 0.35 0.65 Plasmid 1234 0.71 1
79 S79_LN:i:1222_dp:f:0.7139617141316335 0.37 0.63 Plasmid 1222 0.71 1
81 S81_LN:i:1134_dp:f:0.7665093848863194 0.35 0.65 Plasmid 1134 0.77 1
85 S85_LN:i:1075_dp:f:1.0820622368611417 0.18 0.82 Plasmid 1075 1.08 3
56 S56_LN:i:2865_dp:f:1.8233309744810677 0.07 0.93 Plasmid 2865 1.82 Unbinned
78 S78_LN:i:1230_dp:f:0.4231333647186016 0.17 0.83 Plasmid 1230 0.42 Unbinned
80 S80_LN:i:1209_dp:f:0.8683455700274099 0.39 0.61 Plasmid 1209 0.87 Unbinned
