number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
19 S19_LN:i:109057_dp:f:0.5402552207532086 0.29 0.71 Plasmid 109057 0.54 2
32 S32_LN:i:20656_dp:f:0.7390323491472214 0.32 0.68 Plasmid 20656 0.74 1
34 S34_LN:i:15394_dp:f:0.6387869226882296 0.26 0.74 Plasmid 15394 0.64 1
36 S36_LN:i:13860_dp:f:0.8284002346808503 0.12 0.88 Plasmid 13860 0.83 1
37 S37_LN:i:13746_dp:f:0.8178260846618121 0.39 0.61 Plasmid 13746 0.82 1
39 S39_LN:i:11603_dp:f:0.7596191160858743 0.31 0.69 Plasmid 11603 0.76 1
41 S41_LN:i:10123_dp:f:0.7716783289002078 0.38 0.62 Plasmid 10123 0.77 1
42 S42_LN:i:10007_dp:f:0.7784173850989231 0.5 0.5 Plasmid 10007 0.78 1
46 S46_LN:i:5104_dp:f:0.6801157382984746 0.04 0.96 Plasmid 5104 0.68 1
50 S50_LN:i:3258_dp:f:0.7451335086081194 0.41 0.59 Plasmid 3258 0.75 1
61 S61_LN:i:1800_dp:f:0.9202132939566434 0.03 0.97 Plasmid 1800 0.92 1
67 S67_LN:i:1352_dp:f:0.6398142603886647 0.25 0.75 Plasmid 1352 0.64 1
