number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
102 S102_LN:i:3009_dp:f:0.9998406982372061 0.43 0.57 Plasmid 3009 1 1
106 S106_LN:i:2854_dp:f:0.5333663218396895 0.01 0.99 Plasmid 2854 0.53 1
107 S107_LN:i:2802_dp:f:0.7845897466136916 0.13 0.87 Plasmid 2802 0.78 1
109 S109_LN:i:2735_dp:f:0.7139297739346112 0.01 0.99 Plasmid 2735 0.71 1
110 S110_LN:i:2713_dp:f:0.8715566924939104 0.16 0.84 Plasmid 2713 0.87 1
111 S111_LN:i:2698_dp:f:0.9625702164535185 0.16 0.84 Plasmid 2698 0.96 1
119 S119_LN:i:2166_dp:f:0.6897207989541356 0.08 0.92 Plasmid 2166 0.69 1
121 S121_LN:i:2048_dp:f:0.7271401390197493 0.2 0.8 Plasmid 2048 0.73 1
126 S126_LN:i:1738_dp:f:0.8645302266500656 0.21 0.79 Plasmid 1738 0.86 1
133 S133_LN:i:1598_dp:f:1.0701119993699872 0.23 0.77 Plasmid 1598 1.07 1
142 S142_LN:i:1300_dp:f:0.8499338328127903 0.13 0.87 Plasmid 1300 0.85 1
143 S143_LN:i:1208_dp:f:0.6740507427074817 0.03 0.97 Plasmid 1208 0.67 1
145 S145_LN:i:1175_dp:f:0.8345812970640784 0.18 0.82 Plasmid 1175 0.83 1
148 S148_LN:i:1136_dp:f:0.9231184396325612 0.09 0.91 Plasmid 1136 0.92 1
154 S154_LN:i:1044_dp:f:0.9761542647559325 0.04 0.96 Plasmid 1044 0.98 1
48 S48_LN:i:27840_dp:f:0.7608159504743741 0.2 0.8 Plasmid 27840 0.76 1
67 S67_LN:i:9800_dp:f:0.4464158468768355 0.4 0.6 Plasmid 9800 0.45 1
69 S69_LN:i:8962_dp:f:0.9092231645316775 0.02 0.98 Plasmid 8962 0.91 1
70 S70_LN:i:8955_dp:f:0.524056171383555 0.19 0.81 Plasmid 8955 0.52 1
75 S75_LN:i:6885_dp:f:0.7647100192632906 0.17 0.83 Plasmid 6885 0.76 1
78 S78_LN:i:6391_dp:f:0.57054326067289 0.16 0.84 Plasmid 6391 0.57 1
79 S79_LN:i:6162_dp:f:0.7275547050949988 0.21 0.79 Plasmid 6162 0.73 1
83 S83_LN:i:5548_dp:f:0.9371451817735823 0.08 0.92 Plasmid 5548 0.94 1
85 S85_LN:i:5363_dp:f:0.725333667737798 0.13 0.87 Plasmid 5363 0.73 1
88 S88_LN:i:4433_dp:f:0.6844661455650338 0.29 0.71 Plasmid 4433 0.68 1
92 S92_LN:i:4197_dp:f:2.345407898961566 0.03 0.97 Plasmid 4197 2.35 2
95 S95_LN:i:3906_dp:f:0.4974490444195666 0.5 0.5 Plasmid 3906 0.5 1
96 S96_LN:i:3698_dp:f:4.7301345364017 0.46 0.54 Plasmid 3698 4.73 3
98 S98_LN:i:3566_dp:f:0.7840628279349446 0.02 0.98 Plasmid 3566 0.78 1
99 S99_LN:i:3218_dp:f:0.8223231840362962 0.21 0.79 Plasmid 3218 0.82 1
