number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
37 S37_LN:i:30920_dp:f:0.7074169553053486 0.23 0.77 Plasmid 30920 0.71 2
58 S58_LN:i:9129_dp:f:0.49093650105128644 0.1 0.9 Plasmid 9129 0.49 2
60 S60_LN:i:7698_dp:f:0.5207809479633172 0.07 0.93 Plasmid 7698 0.52 1
64 S64_LN:i:7334_dp:f:0.59550133565568 0 1 Plasmid 7334 0.6 1
65 S65_LN:i:6764_dp:f:28.379373104996155 0.43 0.57 Plasmid 6764 28.38 3
67 S67_LN:i:6675_dp:f:40.26946251442295 0.27 0.73 Plasmid 6675 40.27 4
71 S71_LN:i:5819_dp:f:1.3354287644802452 0.11 0.89 Plasmid 5819 1.34 1
84 S84_LN:i:4433_dp:f:0.8174393096832475 0.21 0.79 Plasmid 4433 0.82 2
93 S93_LN:i:3777_dp:f:0.7458231936755327 0.04 0.96 Plasmid 3777 0.75 2
50 S50_LN:i:15672_dp:f:0.49914652029903694 0.12 0.88 Plasmid 15672 0.5 Unbinned
79 S79_LN:i:4985_dp:f:1.554070868549114 0.1 0.9 Plasmid 4985 1.55 Unbinned
