number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
100 S100_LN:i:3525_dp:f:2.8069493983016467 0.23 0.77 Plasmid 3525 2.81 1
102 S102_LN:i:3158_dp:f:2.426955586264346 0.27 0.73 Plasmid 3158 2.43 1
108 S108_LN:i:2707_dp:f:2.179471095178408 0.01 0.99 Plasmid 2707 2.18 1
110 S110_LN:i:2687_dp:f:1.1543739667797415 0.18 0.82 Plasmid 2687 1.15 1
112 S112_LN:i:2123_dp:f:2.4094150265694845 0.02 0.98 Plasmid 2123 2.41 1
113 S113_LN:i:2110_dp:f:2.0143133988461277 0.04 0.96 Plasmid 2110 2.01 1
119 S119_LN:i:1822_dp:f:3.2098493933484726 0.47 0.53 Plasmid 1822 3.21 1
35 S35_LN:i:45042_dp:f:3.6902732371653575 0.2 0.8 Plasmid 45042 3.69 3
60 S60_LN:i:17909_dp:f:2.2691942378072314 0.38 0.62 Plasmid 17909 2.27 1
66 S66_LN:i:13585_dp:f:2.5933388173544256 0.12 0.88 Plasmid 13585 2.59 1
72 S72_LN:i:11605_dp:f:2.5550464753664923 0.45 0.55 Plasmid 11605 2.56 1
74 S74_LN:i:11136_dp:f:2.0959400827018753 0.04 0.96 Plasmid 11136 2.1 1
76 S76_LN:i:10515_dp:f:2.3212555083808573 0.02 0.98 Plasmid 10515 2.32 1
81 S81_LN:i:8521_dp:f:2.912708594638511 0.24 0.76 Plasmid 8521 2.91 1
88 S88_LN:i:6234_dp:f:2.067368829175673 0.3 0.7 Plasmid 6234 2.07 1
90 S90_LN:i:5658_dp:f:33.34731350686153 0.5 0.5 Plasmid 5658 33.35 4
92 S92_LN:i:5375_dp:f:83.11317913357897 0.22 0.78 Plasmid 5375 83.11 2
94 S94_LN:i:5029_dp:f:2.3193834263152397 0.26 0.74 Plasmid 5029 2.32 1
