number Contig_name Prob_Chromosome Prob_Plasmid Prediction length coverage Bin
47 S47_LN:i:22104_dp:f:0.8913296335757536 0.16 0.84 Plasmid 22104 0.89 1
51 S51_LN:i:13858_dp:f:0.824841250088916 0.06 0.94 Plasmid 13858 0.82 1
53 S53_LN:i:12564_dp:f:0.8123314662185979 0.07 0.93 Plasmid 12564 0.81 1
54 S54_LN:i:11038_dp:f:0.8262979410824925 0.07 0.93 Plasmid 11038 0.83 1
56 S56_LN:i:10753_dp:f:0.7225504276462236 0.1 0.9 Plasmid 10753 0.72 1
59 S59_LN:i:6455_dp:f:0.8935416190755643 0.33 0.67 Plasmid 6455 0.89 1
62 S62_LN:i:4058_dp:f:0.8419591084851372 0.48 0.52 Plasmid 4058 0.84 1
63 S63_LN:i:3740_dp:f:0.9843966433485762 0.13 0.87 Plasmid 3740 0.98 1
65 S65_LN:i:3457_dp:f:0.9317025742553326 0.07 0.93 Plasmid 3457 0.93 1
70 S70_LN:i:2186_dp:f:0.8065710335903301 0 1 Plasmid 2186 0.81 1
71 S71_LN:i:1742_dp:f:0.8817617715510944 0.2 0.8 Plasmid 1742 0.88 1
