plasmid_1;201_3+,166_0-,81_1+,112_0+,201_6-,
plasmid_2;59_0-,85_1+,78_0+,70_0+,213_1+,200_2+,158_2-,87_0+,
plasmid_3;201_0-,103_6-,169_0+,79_0-,140_2+,115_3+,163_0-,169_9+,71_0-,89_1-,127_0+,102_0-,43_0-,80_0-,106_1-,25_0+,64_9-,64_0-,124_0-,205_0-,138_3+,86_1+,75_0+,117_1+,90_1-,91_1+,138_2-,51_0-,156_1-,94_0-,92_1+,65_1-,143_2+,144_1+,64_5-,42_1+,67_1+,58_0+,158_0-,88_0+,52_0-,69_0+,70_1-,72_0-,85_0-,
plasmid_4;137_2-,181_0-,63_0+,183_1+,
plasmid_5;180_0+,203_1+,plasmid_6;54_0+,102_1-,
plasmid_7;169_13+,81_0-,110_0-,200_0+,158_1-,87_1+,53_1-,169_3-,103_14+,201_12+,177_1-,188_1+,155_0-,115_6+,34_0-,64_3-,42_0+,67_0+,33_0-,64_7+,35_1+,76_0-,48_1+,76_2+,41_1+,201_14-,
plasmid_8;125_0+,157_1+,139_1+,64_4+,97_1-,180_1-,46_0-,178_0-,plasmid_9;90_2-,91_0+,138_1-,205_1+,124_1+,64_6+,34_1+,115_1-,140_0-,79_1+,169_7-,
plasmid_10;152_1+,44_1-,201_13-,103_15-,169_11+,26_0-,137_0-,47_0+,
plasmid_11;90_0+,117_0-,
plasmid_12;48_0+,76_1+,35_0-,64_2-,101_2-,188_2-,177_0+,201_15-,
plasmid_13;192_0-,52_1-,201_8-,103_11-,169_8+,147_0+,115_2-,140_4-,
plasmid_14;103_7+,201_9+,166_1-,81_2+,169_1-,103_0+,39_1-,64_8+,64_1-,77_1-,109_0-,111_0-,107_1+,182_2+,121_3-,142_0-,153_2-,37_0-,140_1+,115_0+,
plasmid_15;61_1-,89_0-,68_1-,169_14-,103_10+,201_2+,60_0-,201_4-,
plasmid_16;169_10+,49_1+,169_12-,103_1+,201_10+,60_1+,201_11-,
plasmid_17;41_0+,201_1-,103_4-,169_4+,49_0-,169_5-,
plasmid_18;40_1+,164_1-,169_6-,103_5+,201_5+,85_2+,
plasmid_19;44_0-,201_7-,103_9-,169_2+,53_0+,87_2-,
