plasmid_0;84_1-,73_3+,44_0+,113_1+
# 84_1	0.71412680756396	1	899
# 73_3	0.824381412190706	1	1657
# 44_0	0.0	1	22533
# 113_1	0.7142857142857143	1	126

plasmid_1;80_2+,42_0+,110_0-,100_0-,97_0-,15_0-,109_0-,66_0-,73_1-,84_0+
# 80_2	0.9682274247491639	1	1196
# 42_0	0.0	1	24301
# 110_0	0.0	1	138
# 100_0	0.0	1	277
# 97_0	0.0	1	331
# 15_0	0.0	1	142762
# 109_0	0.0	1	152
# 66_0	0.0	1	3054
# 73_1	0.824381412190706	1	1657
# 84_0	0.71412680756396	1	899

plasmid_2;78_2-,20_0+,78_3+
# 78_2	0.9155794320798158	1	1303
# 20_0	0.0	1	99962
# 78_3	0.9155794320798158	1	1303

plasmid_3;90_0-,104_4-
# 90_0	0.6484517304189436	1	549
# 104_4	1.0	1	200

plasmid_4;72_9+,38_0+,151_0+,80_0+
# 72_9	0.9870619946091644	1	1855
# 38_0	0.0	1	29044
# 151_0	0.0	1	6
# 80_0	0.9682274247491639	1	1196

plasmid_5;72_6+,37_0-,143_1-,76_1-,21_0-,151_1+,80_4+
# 72_6	0.9870619946091644	1	1855
# 37_0	0.0	1	31654
# 143_1	0.0	1	19
# 76_1	0.0	1	1445
# 21_0	0.0	1	99310
# 151_1	0.0	1	6
# 80_4	0.9682274247491639	1	1196

plasmid_6;124_4+
# 124_4	1.0	1	63

plasmid_7;124_1+
# 124_1	1.0	1	63

plasmid_8;104_1+
# 104_1	1.0	1	200

plasmid_9;86_1+
# 86_1	0.9600997506234414	1	802

plasmid_10;78_0+
# 78_0	0.9155794320798158	1	1303

plasmid_11;96_1+
# 96_1	0.8328445747800587	1	341

plasmid_12;49_0+
# 49_0	0.07543017206882753	1	19992

plasmid_13;30_0+
# 30_0	0.025060111101898683	1	48244

plasmid_14;30_1+
# 30_1	0.025060111101898683	1	48244

plasmid_15;12_1+
# 12_1	0.012138210896938593	1	167570

plasmid_16;12_0+
# 12_0	0.012138210896938593	1	167570

